item_id,manufacturer_model,required_spec,quantity,candidate_price_krw,price_date,status,url,verification
SH-MOTOR-DONOR,project-lab wheelchair/conveyor/scooter geared motor,18-30 V reversible brushed DC cutter-equivalent 14 N.m continuous 24 N.m/3 s peak 20-40 rpm shaft10-20,1,0,2026-08-28,DONOR_VERIFY_HOLD,project-lab inspection,exact model label quantity state shaft no-load current RPM backlash and 30 min case temperature
SH-MOTOR-REFERENCE,TT Motor GMP60-60127-2460 ratio47,24 V 95 rpm no-load 70 rpm rated 9.80665 N.m rated Ø12 shaft 4xM5 PCD45,1,0,2026-08-29,VENDOR_SELECTED_QUOTE_PENDING,https://www.ttmotor.com/uploads/GMP60-609760127.pdf,"digital geometry/dynamics reference only; quote shipping receipt and Gate-1 required before selection; 구매처 확정: TT Motor 공장 직접 RFQ (디지털 기준모터, baseline cash 제외); 국내 유료 대안은 신용모터 GGM 웜기어드 24 V 60 W(약 56,100 KRW, NON_BASELINE_QUOTE_ONLY 유지)"
SH-MOTOR-42GP,TT Motor GMP42-775PM ratio51,24 V 90 rpm rated 2.5497 N.m rated Ø10 shaft,1,0,2026-08-29,REJECT_CONTINUOUS_TORQUE,https://www.ttmotor.com/uploads/GMP42-775PM.pdf,DRV-A42 retained but this exact variant yields only 5.42 N.m cutter equivalent
SH-DRIVER,BTS7960 43A module candidate,24 V reversible PWM minimum 20 A for 60 s with heatsink,1,4620,2026-08-28,VENDOR_CONFIRMED_PENDING_BENCH_TEST,https://www.icbanq.com/P014373686,"not accepted by 43 A marking alone; 20 A thermal and voltage-drop bench test; 구매처 확정 2026-08-30 (icbanq P014373686, 4,620 KRW) — 20 A thermal/voltage-drop bench test 전까지 BUY 유지"
SH-CURRENT-REFERENCE,ACS758LCB-050B-PFF-T,50 A bidirectional Hall 40 mV/A genuine Allegro,1,16748,2026-08-28,NON_BASELINE_REFERENCE_OVER_SH_DRIVE_BUCKET,https://www.digikey.kr/ko/products/detail/allegro-microsystems/ACS758LCB-050B-PFF-T/2042745,BTS7960 candidate와 합계 21368 KRW라 SH-DRIVE 8000 KRW bucket을 초과하므로 기본 BOM에서 제외
SH-CURRENT-DONOR,project-lab 50 A Hall module or 50 A/75 mV low-side shunt plus differential ADC,calibrated 0/5/10/15/20 A feedback and insulated touch-safe conductor path,1,0,2026-08-30,DONOR_VERIFY_OR_QUOTE_REQUIRED_NOT_ZERO_CASH,project-lab inspection,model rating isolation/shunt tolerance wiring and calibration evidence 없이는 0원 확정 금지; torque/current는 sole safety cut이 아님
SH-CHAIN,ANSI number35 chain/sprocket Gate-1 set,12T motor and 30T cutter sprocket face at least 6 mm plus guarded chain,1,3000,2026-08-30,VENDOR_SELECTED_QUOTE_PENDING,https://kr.misumi-ec.com/vona2/detail/110310384209/,"구매처 확정: 한국미스미 경제형 스프로켓 35 (ISO 06A/ANSI 35, bore machining option) 12T/30T + #35 chain; 4일 shipped, 수량별 할인; SH-INTERFACE 6,000 KRW bucket 대비 +3,000~+9,000 예상 델타"
SH-PHASE-GENERIC,DRV-03 keyed laminated phase pair,module3 Z16 20 degree face18 mm S45C 3x6 mm lamination per gear with 6.2 keyway,6,3000,2026-08-30,GATE1_TARGET_CEILING_RFQ_REQUIRED,exports/drive_interface/parts/DRV-03/DRV-03.dxf,common key plus 2xM4 and 1xØ3 H7 dowel; actual quote above target is budget blocker
SH-MOTOR-NEW-ALT,new industrial gearmotor,functional spec identical to SH-MOTOR-DONOR,1,0,2026-08-28,NON_BASELINE_QUOTE_ONLY,vendor RFQ,only considered if total verified cash remains under 200000 KRW
HT-BAND-01,custom mica band heater TH-BH-01,24 V 100 W ID34.0 +0/-0.1 W45 clamping band high-temp lead cold resistance 5.76 Ω ±10 percent,3,15000,2026-08-30,VENDOR_SELECTED_QUOTE_PENDING,http://www.heater1.co.kr/product7.html,"구매처 후보 확정: 1순위 한국전자전열(대전, 온라인 견적), 2순위 한일전열엔지니어링 http://www.han-il.com/products/korean/band1k.htm, 3순위 AliExpress custom mica band; Omega MBH는 단가 14.5만 KRW/11주로 기각; 견적 전까지 HEAT-BAND 15,000 KRW bucket 유지"
HT-CART-01,24 V 60 W Ø6 cartridge heater TH-DIE-01,24 V 60 W Ø6 sheath length 38 mm +/-1 stainless high-temp lead cold resistance 9.60 Ω ±10 percent,1,3000,2026-08-30,VENDOR_CONFIRMED_PENDING_USER_APPROVAL,https://ko.aliexpress.com/item/1005007292681977.html,"24 V 60 W Ø6-class 3D printer cartridge stock; 수령검사: 실측 Ø5.85-6.00, length, 20 C cold resistance 9.60 Ω ±10 percent, sheath-to-lead insulation; HEAT-DIE 4,000 KRW bucket 이내 예상"
HT-PTC-01,24 V insulated PTC element 35x21x5 class TH-PTC-EL,24 V AC/DC self-regulating insulated aluminum-shell surface class 80-110 C 35x21x5 mm,4,2500,2026-08-30,VENDOR_CONFIRMED_PENDING_USER_APPROVAL,https://ko.aliexpress.com/w/wholesale-24v-ptc-heater-element.html,"AliExpress 24 V insulated constant-temperature PTC category; 1개 cold current/10-30-60 min power/equilibrium temperature 실측 후 4-8개 확정; HEAT-PTC 3,000 KRW bucket 대비 +3,000~+7,000 예상 델타"
