part_id,description,quantity,material,status,source,notes
FR-2020-360,2020 profile cut 360,3,Al extrusion - existing,OWNED_SLOT_PATTERN_TO_MEASURE,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,Nominal section only. Confirm slot series before buying brackets; 3 mm saw kerf.
FR-2020-400,2020 profile cut 400,2,Al extrusion - existing,OWNED_SLOT_PATTERN_TO_MEASURE,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,Nominal section only. Confirm slot series before buying brackets; 3 mm saw kerf.
FR-2020-590,2020 profile cut 590,2,Al extrusion - existing,OWNED_SLOT_PATTERN_TO_MEASURE,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,Nominal section only. Confirm slot series before buying brackets; 3 mm saw kerf.
FR-2040-320,2040 profile cut 320,2,Al extrusion - existing,OWNED_SLOT_PATTERN_TO_MEASURE,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,Nominal section only. Confirm slot series before buying brackets; 3 mm saw kerf.
FR-2040-400,2040 profile cut 400,2,Al extrusion - existing,OWNED_SLOT_PATTERN_TO_MEASURE,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,Nominal section only. Confirm slot series before buying brackets; 3 mm saw kerf.
FR-2040-630,2040 profile cut 630,2,Al extrusion - existing,OWNED_SLOT_PATTERN_TO_MEASURE,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,Nominal section only. Confirm slot series before buying brackets; 3 mm saw kerf.
FR-BASE,Bottom tray 630x400x3,1,Al 5052,SHEET_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Mains and hot zones require separate partitions; shown base is not sealed containment.
EL-PSU,Owned 24V 800W PSU,1,Purchased,OWNED_MOUNTING_PATTERN_UNMEASURED,PPR_project_handover_2026-09-20.zip / 08_BOM_COMPONENTS.md,No guessed mounting holes. 120x240x65 user measurement; model contains true body only.
DRV-M1,M1 TT GMP60 motor reference,1,Purchased,DATASHEET_INTERFACE_REFERENCE,https://www.ttmotor.com/uploads/GMP60-609760127.pdf,"4xM5 PCD45, pilot32, shaft12 D10.9; encoder and wire exit not dimensioned in this option."
DRV-M2,M2 TT GMP60 motor reference,1,Purchased,DATASHEET_INTERFACE_REFERENCE,https://www.ttmotor.com/uploads/GMP60-609760127.pdf,"4xM5 PCD45, pilot32, shaft12 D10.9; encoder and wire exit not dimensioned in this option."
DRV-M1-PL,TT60 common motor face plate,2,S355 steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,"Motor axis datum(35,32.5); 4x5.5 THRU onPCD45. Confirm motor engagement depth."
DRV-CPL12,Split clamp coupling 12-12,1,Steel,CLAMP_TORQUE_HOLD,PPR-C1 original dimensional design; not an empirical qualification,2xM5 clamp bolts; friction capacity and motor flat-specific jaw require proof. Not an approved torque limiter.
DRV-IN-SHAFT,Common input shaft 12x157,1,C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,Bearing journals 12 k6; keyed regions 12 h6. 4 mm key width; retaining collar details in RFQ.
DRV-JACK,Output jackshaft 20x168,1,C45,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,20 k6 bearing seats; 6 mm keyway outside bearing seats. Shoulder/retention specification needs final tolerance audit.
BR-6205,6205 bearing boundary,4,Bearing steel,DATASHEET_BOUNDARY,https://www.nsk.com/engineering/6205-apn.html,"Seal, clearance class and exact suffix must be selected. Bearing envelope is not solid steel in mass estimates."
BR-6001,6001 bearing boundary,4,Bearing steel,DATASHEET_BOUNDARY,https://www.nsk.com/engineering/6001-apn.html,"Seal, clearance class and exact suffix must be selected. Bearing envelope is not solid steel in mass estimates."
BR-6204,6204 bearing boundary,2,Bearing steel,DATASHEET_BOUNDARY,https://www.nsk.com/engineering/6204-apn.html,"Seal, clearance class and exact suffix must be selected. Bearing envelope is not solid steel in mass estimates."
BR-51102,51102 bearing boundary,1,Bearing steel,DATASHEET_BOUNDARY,https://www.nsk.com/engineering/51102-apn.html,"Seal, clearance class and exact suffix must be selected. Bearing envelope is not solid steel in mass estimates."
BR-6202,6202 bearing boundary,1,Bearing steel,STANDARD_SIZE_VERIFY_MPN,Supplier drawing / capacity confirmation required before procurement,"Seal, clearance class and exact suffix must be selected. Bearing envelope is not solid steel in mass estimates."
BR-6007,6007 bearing boundary,2,Bearing steel,STANDARD_SIZE_VERIFY_MPN,Supplier drawing / capacity confirmation required before procurement,"Seal, clearance class and exact suffix must be selected. Bearing envelope is not solid steel in mass estimates."
