scenario,protected_requirement_or_failure_mode,input,method,expected_evidence,pass_fail_threshold,result,evidence
PullerTransientSaturation,startup/transient limit does not latch persistent saturation,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,startup/transient limit does not latch persistent saturation,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=0,final=0], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=3.03598], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=1,final=1], wastePathActive[peak=1,final=0]"
PullerPersistentSaturation,persistent speed error and actuator limit cause forming-chain fault,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,persistent speed error and actuator limit cause forming-chain fault,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=1,final=0], pullerSaturated[peak=1,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=9.28], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=1,final=1], wastePathActive[peak=1,final=0]"
PullerTachLoss,loss-of-tach timeout disables production,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,loss-of-tach timeout disables production,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=1,final=1], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=0], pullerError[peak=9.28,final=-0.00572525], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=0,final=0], wastePathActive[peak=1,final=1]"
PullerSpeedLoopLoadStep,inner PI recovers after a bounded load step,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,inner PI recovers after a bounded load step,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=1,final=0], pullerSaturated[peak=1,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.393277], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=1,final=1], wastePathActive[peak=1,final=0]"
SingleCoolingFanLoss,either individual fan loss invalidates cooling,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,either individual fan loss invalidates cooling,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=1,final=1], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572389], coolingValid[peak=0,final=0], fan1Rpm[peak=0,final=0], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=0,final=0], wastePathActive[peak=1,final=1]"
DualCoolingFanLoss,dual fan loss invalidates cooling,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,dual fan loss invalidates cooling,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=1,final=1], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572389], coolingValid[peak=0,final=0], fan1Rpm[peak=0,final=0], fan2Rpm[peak=0,final=0], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=0,final=0], wastePathActive[peak=1,final=1]"
CoolingFeedbackImplausible,feedback while command is off is implausible,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,feedback while command is off is implausible,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=1,final=1], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572389], coolingValid[peak=0,final=0], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=0,final=0], wastePathActive[peak=1,final=1]"
DuctBlockageSensitivity,tach is not treated as measured airflow,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,tach is not treated as measured airflow,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=0,final=0], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-0.00572409], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=0,final=0], measuredPurgeRevolutions[peak=5.33333,final=5.33333], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=242.313,final=242.313], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=1,final=1], wastePathActive[peak=1,final=0]"
ScrewCommandNoMotion,commanded screw with zero motion faults,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,commanded screw with zero motion faults,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=1,final=1], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-1.67013e-11], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=1,final=1], measuredPurgeRevolutions[peak=0,final=0], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=382.757,final=382.757], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=0,final=0], wastePathActive[peak=1,final=1]"
ScrewCouplingSlip,coupling slip below motion ratio faults,scenario parameters in V062ShadowScenarios.mo,OpenModelica 1.27 DASSL reduced-order shadow simulation,coupling slip below motion ratio faults,scenario-specific predicate in validate_v062_shadow.py,PASS,"formingFault[peak=1,final=1], pullerSaturated[peak=0,final=0], pullerTachValid[peak=1,final=1], pullerError[peak=9.28,final=-2.38064e-10], coolingValid[peak=1,final=1], fan1Rpm[peak=1800,final=1800], fan2Rpm[peak=1800,final=1800], screwMotionMismatch[peak=1,final=1], measuredPurgeRevolutions[peak=8.66667,final=8.66667], purgeComplete[peak=0,final=0], heaterAllocationScale[peak=0.833333,final=0.833333], heaterIntegrator[peak=382.757,final=382.757], dancerAngle[peak=0,final=0], spoolJamDetected[peak=0,final=0], traverseHardFault[peak=0,final=0], spoolEligible[peak=0,final=0], wastePathActive[peak=1,final=1]"
