item,requirement_class,supplier_response_yes_no_alternative,evidence_or_file,proposed_specification,lead_time,price,review_status
SCM440 JIS G 4105 and original heat/lot MTC,HARD_GATE,,,,,,AWAITING_RESPONSE
Q&T 28-32 HRC sequence and certificate,HARD_GATE,,,,,,AWAITING_RESPONSE
Screw gas nitriding effective case 0.30-0.50 mm after final grinding,HARD_GATE,,,,,,AWAITING_RESPONSE
Barrel gas nitriding process target 0.30-0.50 mm and final-hone effective case >=0.25 mm; hone removal reported,HARD_GATE,,,,,,AWAITING_RESPONSE
Surface hardness: screw 900-1100 HV0.3; barrel >=900 HV0.3,HARD_GATE,,,,,,AWAITING_RESPONSE
Post-treatment screw grinding and barrel honing,HARD_GATE,,,,,,AWAITING_RESPONSE
Finished bore/OD/pitch/root/land/TIR/Ra tolerances and inspection report,HARD_GATE,,,,,,AWAITING_RESPONSE
Blind flat-bottom thermocouple bore geometry and inspection,PRODUCTION_DFM,,,,,,AWAITING_RESPONSE
Final-condition properties at 245-270 degC (yield/E/nu/CTE/k/cp),INFO_FOR_BASELINE_REQUIRED_FOR_MATERIAL_OR_HEAT_TREATMENT_DEVIATION,,,,,,AWAITING_RESPONSE
Traceability and final responsibility across subcontractors,HARD_GATE,,,,,,AWAITING_RESPONSE
Same-heat and same-process coupons before production,HARD_GATE,,,,,,AWAITING_RESPONSE
Separate coupon price and lead time,HARD_GATE,,,,,,AWAITING_RESPONSE
Separate production price and lead time,INFORMATIONAL,,,,,,AWAITING_RESPONSE
