part_id,name,quantity,material,process,x_mm,y_mm,z_mm,files,release_state
IN-HOP-01,Refillable input hopper,1,2 mm 5052-H32 aluminum,roll cone/cylinder + TIG weld + deburr,200.00,199.94,210.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FD-BIN-01,Removable flake bin,1,1.00 ±0.05 mm 304 stainless sheet,"laser cut, fold and rivet/TIG seam",185.00,175.00,115.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FD-HOP-01,Sealed feed hopper,1,2 mm 304 stainless,roll cone/cylinder + TIG flange + gasketed lid,156.00,155.95,200.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FD-GSK-01,Feed-hopper flange gasket,2,food-contact platinum silicone 0.50±0.05 mm,die cut,44.00,43.99,0.50,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FD-MET-01,Metering auger housing,1,304 stainless,turn tube/flanges + drill,44.00,43.99,106.20,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FD-MET-02,Positive-displacement metering auger,1,304 stainless,turn root/bore + mill or weld continuous flight,24.41,24.41,105.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FD-MET-03,Common auger and anti-bridge agitator shaft,1,304 shaft,turn Ø8 shaft + cross-drill + weld/pin Ø4 paddles,120.00,100.00,300.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FD-DA-01,Feeder reference-drive frame mount,1,8 mm S275 steel,laser/waterjet + bore finish + weld flange,126.00,70.00,70.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FD-CP-01,Feeder positive drive coupling,1,S45C normalized steel,turn + broach 3 mm keyway + cross-drill,18.00,17.99,24.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
EX-THR-01,Extruder thrust plate,1,12 mm S45C normalized steel,laser rough + bore/seat finish,12.00,95.00,105.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
EX-SH-01,Three-panel hot-zone shield,1,2 mm 5052 aluminum,laser + two 90deg bends; bond PE,335.00,75.00,85.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
DRV-GD-01,Interlocked drive guard,1,1 mm galvanized steel,laser + brake + service-cover hardware,165.00,48.00,190.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FM-PL-01,Puller side plate,2,10 mm 6061-T6,waterjet + ream/tap,100.00,10.00,40.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FM-RL-01,Puller roller,2,6061-T6 hub + replaceable Shore A 50-70 silicone sleeve,turn + bore,40.00,39.99,60.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FM-EB-01,Puller eccentric pressure bushing,2,S45C normalized steel,turn eccentric bore + mill flange slots,23.99,13.00,24.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FM-AX-01,Puller roller spindle,2,Ø8 h6 stainless shaft,cut/face + collar flats,8.00,8.00,80.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FM-GR-01,Solid-strand guide roller,1,POM-C,turn + bearing-seat bore,36.00,35.99,20.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FM-GC-01,Guide roller 625 outer-ring retainer,2,1 mm 304 stainless sheet,laser cut + deburr,32.00,31.99,1.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FM-GA-01,Guide roller fixed axle,1,Ø5 h6 stainless shaft,cut/face + E-clip grooves or collars,5.00,5.00,30.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
SP-DA-01,Dancer arm,1,8 mm 6061-T6,waterjet + ream,121.99,8.00,24.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
SP-AX-01,Dancer pivot/roller axles,2,Ø8 h6 stainless shaft,cut/face + collars,8.00,8.00,28.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
SP-RL-01,Dancer end roller,1,POM-C,turn + bore,20.00,19.99,20.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
SP-SH-01,Spool spindle,1,Ø12 h6 S45C,cut/turn faces + collar flats,12.00,12.00,143.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
SP-BP-01,Spool 6001 bearing pocket plate,2,10 mm 6061-T6,waterjet rough + pocket bore finish,105.00,10.00,60.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
SP-BR-01,Spool 6001 outer-ring retainer,2,2 mm 304 stainless sheet,laser cut + deburr,54.00,2.00,54.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
SP-MM-01,Universal NEMA17-class spool motor plate,1,6 mm 6061-T6,laser/waterjet + drill,101.00,6.00,52.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
SP-TR-01,Traverse rod end plate,2,5 mm 6061-T6,waterjet + ream,5.00,50.00,40.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
SP-DS-01,Dancer pivot support plate,1,8 mm 6061-T6,waterjet + ream,36.00,8.00,80.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
CT-ENC-01,Control-panel sheet enclosure,1,2 mm 5052 aluminum,laser + brake + PE stud,190.00,35.00,190.00,FCStd|STEP|STL|DXF|drawing_notes,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
