item_id,item,qty,source,planning_cash_krw,budget_bucket,status,reuse_after_test,notes
CUT-01,CUT-01 coupon disc,2,exports/cnc/CUT-01,4000,CNC-01,GATE1_RFQ_ALLOWED_USER_APPROVAL_REQUIRED,yes,maximum Gate-1 release 2; remaining 10-disc full stack HOLD
CUT-03,CUT-03 side plate,2,exports/cnc/CUT-03,3000,CNC-02,GATE1_RFQ_ALLOWED_USER_APPROVAL_REQUIRED,yes,both plates are required by Gate-1 and reused; 42 H7 seats match-machined
CUT-05,CUT-05 left shaft,1,exports/cnc/CUT-05,3500,CNC-03,GATE1_RFQ_ALLOWED_USER_APPROVAL_REQUIRED,yes,left shaft; received inspection required
CUT-05R,CUT-05R right clocked shaft,1,exports/cnc/CUT-05R,3500,CNC-03,GATE1_RFQ_ALLOWED_USER_APPROVAL_REQUIRED,yes,right shaft key clock25.714 deg; received optical inspection required
CUT-04,CUT-04 5 mm screen coupon,1,exports/cnc/CUT-04,4000,CNC-04,GATE1_RFQ_ALLOWED_USER_APPROVAL_REQUIRED,yes,maximum Gate-1 release 1; second screen HOLD; actual clearance >=1.9 mm
CUT-08,61905 bearing retainer,2,exports/cnc/CUT-08,0,CNC-02,GATE1_RFQ_ALLOWED_USER_APPROVAL_REQUIRED,yes,positive bearing outer-ring retention; nested in CNC-02 allowance
CUT-09,shredder chamber distance sleeve,4,exports/cnc/CUT-09,0,CNC-02,GATE1_RFQ_ALLOWED_USER_APPROVAL_REQUIRED,yes,four matched steel sleeves isolate printed chute from chamber clamp load; nested in CNC-02 allowance
CUT-10,61905 outer-ring seat ring,4,exports/cnc/CUT-10,0,CNC-02,GATE1_RFQ_ALLOWED_USER_APPROVAL_REQUIRED,yes,OD42 g6; outer ring only; nested in CNC-02 allowance
BRG-61905,SKF 61905-2RS1 bearing,4,approved stock/buy,0,HW-ALLOW,VERIFY_INVENTORY,yes,"verify etched designation, 25x42x9, seal drag and corrosion; no order placed"
DRV-03,M3 Z16 solid phase gear left,1,exports/drive_interface/parts/DRV-03,1500,SH-INTERFACE,GATE1_RFQ_ALLOWED_USER_APPROVAL_REQUIRED,yes,18 mm S45C; 8 mm matched key at datum0 deg
