Part ID,Module,Description,Quantity,Baseline status,Source strategy,Planning floor KRW,Cost status,Validation/approval gate
SYS-CTRL-002,Control,Arduino Mega 2560,1,AVAILABLE,VERIFIED_REUSE,0,KNOWN_ZERO_CASH_AFTER_INSPECTION,User statement
SYS-PWR-001,Power,24 V nominal 600 W PSU,1,NEEDS_INSPECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,DON-PSU-01
SHR-SHAFT-001,Stage 1,20 mm keyed cutter shaft,2,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,ADR-004 and detailed FEA pending
SHR-CUT-001,Stage 1,Replaceable 60x6 mm hook cutter discs,10,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,CAD phase sweep and coupon test pending
SHR-PLATE-001,Stage 1,Metal bearing and timing-support plates,3,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,FEA pending
SHR-BRG-001,Stage 1,6004-2RS candidate bearings 20x42x12,6,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,SKF rating screen and ADR-004
SHR-SPACER-001,Stage 1,38x6.4 mm shaft spacers,10,PROVISIONAL,PROJECT_LAB_FIRST_BUY_SHORTAGE_ONLY,TBD,TBD_AFTER_INVENTORY,CAD axial clearance sweep
SHR-RET-001,Stage 1,Combined bearing retainer plates,3,PROVISIONAL,PROJECT_LAB_FIRST_BUY_SHORTAGE_ONLY,TBD,TBD_AFTER_INVENTORY,ADR-004 and CAD review
SHR-DRV-001,Stage 1,Low-speed high-torque drive,1,NEEDS_INSPECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,Motor label and bench test
SHR-GRD-001,Stage 1,Hopper chamber and anti-reach guard set,1,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,Reach-probe test pending
GRN-SHAFT-001,Stage 2 granulator,17 mm keyed granulator shaft,1,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,Granulator 35 N m shaft screen
GRN-ROTOR-001,Stage 2 granulator,40 mm OD four-row segmented rotor proof,1,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,ADR-006 and rotor sweep
GRN-STATOR-001,Stage 2 granulator,Fixed stator knife 6x16x48 mm proof,1,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,Stage 2 screen coupon pending
GRN-CARRIER-001,Stage 2 granulator,Metal stator carrier,1,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,Carrier FEA pending
GRN-SCREEN-SET,Stage 2 granulator,Flat 4 5 6 mm perforated screen coupon set,3,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,Screen family CAD and coupon plan
GRN-PLATE-001,Stage 2 granulator,100x90x14 bearing side plates,2,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,CAD solid review
GRN-BRG-001,Stage 2 granulator,6203-2RS candidate bearings 17x40x12,2,NEEDS_SELECTION,PROJECT_LAB_STOCK_REQUIRED,5320,PUBLIC_NEW_PRICE_BREAKS_CAP_FLOOR,PRICE-GRN-BRG-DK-20260828 and granulator CAD proof
GRN-RET-001,Stage 2 granulator,Bearing retainer rings,2,PROVISIONAL,PROJECT_LAB_FIRST_BUY_SHORTAGE_ONLY,TBD,TBD_AFTER_INVENTORY,CAD contact check
GRN-DRV-001,Stage 2 granulator,120 to 240 rpm high-torque drive,1,NEEDS_INSPECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,Donor dyno and ADR-006
DRY-BASE-001,Dryer,Three-point metal support frame and load-cell mounting base,1,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,CAD load-path envelope
DRY-VSL-001,Dryer,110 mm ID 180 mm active compact metal hopper and cone,1,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,0.5 kg MVP capacity target
DRY-LID-001,Dryer,Metal hopper lid with agitator shaft opening,1,PROVISIONAL,PROJECT_LAB_FIRST_BUY_SHORTAGE_ONLY,TBD,TBD_AFTER_INVENTORY,CAD envelope
DRY-INS-001,Dryer,40 mm high-temperature insulation and ventilated metal shield,1,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,Thermal model only
DRY-PET-HTR,Dryer,One 24 V up-to-240 W heater branch for PLA and PET recipes with independent 184 C fuse,1,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,45 C PLA and 160 C PET profile tests
DRY-AIR-001,Dryer,Closed-loop blower and dual desiccant cartridge set,1,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,3 m3 per h proof airflow
DRY-SEN-001,Dryer,Three high-temperature sensors plus humidity and external dew-point port,1,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,Accuracy and placement test pending
DRY-FDR-001,Dryer,30 mm auger airlock drive and load-cell set,1,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,3.54 rpm at 200 g per h estimate
EXT-SCR-001,Extruder,18 mm 24 L/D 2.5 ratio single screw,1,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,ADR-009 diameter sweep
EXT-BRL-001,Extruder,ID18.2 OD38 438 mm housing for 432 mm flight and cooled metal feed throat,1,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,20 MPa thick-wall proof model
EXT-BRK-001,Extruder,Seven-hole breaker plate and replaceable 40 to 125 mesh screen pack,1,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,3 MPa clean pressure budget
EXT-DIE-001,Extruder,3.0 mm bore 12 mm land heated filament die and purge catch,1,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,Power-law capillary model
EXT-THR-001,Extruder,51102 thrust bearing radial bearings and 12 mm metal support plate,1,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,5.09 kN proof thrust with static SF3.30
EXT-DRV-001,Extruder,24 V reducer drive 20 Nm continuous at 45 rpm,1,NEEDS_DYNO,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,ADR-009 126 W nominal input target
EXT-HTR-001,Extruder,Two 100 W barrel heaters and one 60 W die heater,3,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,260 W peak; two barrel zones plus die
EXT-SEN-001,Extruder,Three hot-zone sensors melt pressure sensor and cool-bearing sensor,1,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,3 MPa clean 8 MPa trip pressure map
EXT-REL-001,Extruder,Qualified guarded melt-pressure rupture element below 20 MPa proof,1,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,ADR-009 overpressure hierarchy
COOL-AIR-001,Cooling,440 mm three-zone cross-flow tunnel and 80 mm fans,1,PROVISIONAL,PROJECT_LAB_FIRST_BUY_SHORTAGE_ONLY,TBD,TBD_AFTER_INVENTORY,ADR-010 radial cooling model
GAU-SEN-001,Diameter gauge,Dual-axis LED photodiode shadow sensor heads for Arduino,2,NEEDS_SELECTION,PROJECT_LAB_FIRST_BUY_SHORTAGE_ONLY,TBD,TBD_AFTER_INVENTORY,Resolution linearity and thermal-drift coupon pending
GAU-OPT-001,Diameter gauge,Two LED backlights apertures and opaque sensor enclosure,1,NEEDS_SELECTION,PROJECT_LAB_FIRST_BUY_SHORTAGE_ONLY,TBD,TBD_AFTER_INVENTORY,Two-axis shadow crossing CAD proof
PUL-ASM-001,Puller,Synchronized 40x16 mm nip rollers drive encoder odometer and adjustment set,1,PROVISIONAL,PROJECT_LAB_FIRST_BUY_SHORTAGE_ONLY,TBD,TBD_AFTER_INVENTORY,ADR-010 delayed-control simulation
SPL-ASM-001,Spooler,12 mm shaft 6001 bearings dancer traverse guard and spool adapters,1,PROVISIONAL,PROJECT_LAB_FIRST_BUY_SHORTAGE_ONLY,TBD,TBD_AFTER_INVENTORY,ADR-010 4 g shaft screen and 200x73 mm envelope
SAF-EST-001,Safety,One latching mushroom E-stop with NC cutoff contact and auxiliary monitor contact,1,NEEDS_SELECTION,PROJECT_LAB_STOCK_REQUIRED,143001,PUBLIC_NEW_PRICE_BREAKS_CAP_FLOOR,PRICE-ESTOP-DK-20260828 and fault test pending
SAF-CON-001,Safety,One common 24 VDC actuator contactor for both towers,1,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,PRICE-CON-AFS30-MOU-20260828 and MVP architecture contract
SAF-FUS-HLD,Safety,Ten touch-safe DIN branch fuse holders without fuse links,10,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,PRICE-FH-CHCC1DU-DK-20260828 and panel fit only
SAF-FUS-001,Safety,Main fuse holder plus ten branch fuse links with ratings pending measured currents,1,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,Power-source and branch-current measurements pending
SAF-THM-001,Safety,Independent one-shot thermal fuses for three extruder and one dryer heater branches,4,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,Zone temperature and mounting pending
ELE-HTR-DRV,Electronics,Four default-off isolated DC heater SSR channels,4,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,PRICE-SSR-84137860-DK-20260828 and exact panel envelope
ELE-HTR-HS,Electronics,Two two-SSR DIN or panel heat-sink zones for four heater drivers,2,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,PRICE-HS-HS103DR-DK-20260828 and exact panel envelope
ELE-SEN-IF,Electronics,Six-channel 24 V diagnostic isolation and six-channel default-OFF logic interface assembly,1,PROOF_DESIGNED,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,KiCad ERC and DRC zero; review HOLD
ELE-PCB-IF,Electronics,PPR isolated monitor interface bare PCB 190 x 130 mm two layer,1,FABRICATION_HOLD,PROJECT_LAB_FIRST_BUY_SHORTAGE_ONLY,TBD,TBD_AFTER_INVENTORY,Gerber drill and render generated; EMC risk 52/100
UI-TFT-001,User interface,SPI TFT display compatible with qualified logic level,1,NEEDS_INSPECTION,PROJECT_LAB_FIRST_BUY_SHORTAGE_ONLY,TBD,TBD_AFTER_INVENTORY,Pinout D47 to D52
UI-CTL-001,User interface,Rotary encoder push START PAUSE BACK ABORT and buzzer set,1,NEEDS_INVENTORY,PROJECT_LAB_FIRST_BUY_SHORTAGE_ONLY,TBD,TBD_AFTER_INVENTORY,Physical acknowledgement logic implemented
FRM-001,Frame,2020 2040 4040 aluminum profiles and T-nuts,TBD,NEEDS_INVENTORY,PROJECT_LAB_FIRST_BUY_SHORTAGE_ONLY,TBD,TBD_AFTER_INVENTORY,Profile length inventory pending
MISC-HDW-001,Assembly,M4 M5 M8 fasteners T-nuts metal inserts keys shims and retaining hardware,1,NEEDS_INVENTORY,PROJECT_LAB_FIRST_BUY_SHORTAGE_ONLY,TBD,TBD_AFTER_INVENTORY,Module drawings and harness schedule
MISC-WIR-001,Assembly,Keyed connectors cable duct ferrules wire labels PE lugs and moving cable protection,1,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,H01 to H18 harness schedule
MISC-PRT-001,Assembly,Cold-side printed guards ducts bins fixtures and adapters,1,PROVISIONAL,PROJECT_LAB_FIRST_BUY_SHORTAGE_ONLY,TBD,TBD_AFTER_INVENTORY,CAD print-bed checks passed
CTL-ENC-001,Control enclosure,Grounded 500 by 400 by 210 mm industrial enclosure with 450 by 370 mm mounting plate,1,NEEDS_SELECTION,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,PRICE-ENC-MAS0405021R5-DK-20260828 and exact FreeCAD envelope
CTL-ASM-001,Control enclosure,Internal mounting plate partition DIN rails four-class wire ducts glands door bond PE studs and panel fabrication set,1,PROVISIONAL,PROJECT_LAB_OR_DONOR_ONLY,TBD,BLOCKED_WITHOUT_VALIDATED_STOCK,control_enclosure_layout.csv and FreeCAD fit gates
