Part ID,Description,Primary channel,Alternate channel,AliExpress policy,Required qualification,Evidence state
SHR-BRG-001,6004-2RS candidate bearings 20x42x12,Korean bearing specialist,AliExpress sample; authorized bearing distributor,SAMPLE_ONLY,6004-2RS 20x42x12; C/C0; seal; fit; shock coupon,CANDIDATE_EVIDENCE_RECORDED
SHR2-BRG-001,6004-2RS candidate bearings 20x42x12,Korean bearing specialist,AliExpress sample; authorized bearing distributor,SAMPLE_ONLY,6004-2RS 20x42x12; C/C0; seal; fit; shock coupon,CANDIDATE_EVIDENCE_RECORDED
SHR2-SHM-001,Ground bed knife shim assortment,MISUMI or precision shim specialist,DeviceMart catalog,FORBIDDEN,ground thickness certificate; flatness; hardness; oil compatibility,SEARCH_REQUIRED
GRN-BRG-001,6203-2RS candidate bearings 17x40x12,DigiKey or Korean bearing specialist,AliExpress sample,SAMPLE_ONLY,6203-2RS 17x40x12; C/C0; seal; fit; shock coupon,CANDIDATE_EVIDENCE_RECORDED
SRT-SCR-TOP,Removable 6.0 mm top screen cassette,Perforated-sheet specialist,DeviceMart; AliExpress sample,SAMPLE_ONLY,6.0 mm aperture; open area; stainless grade; frame retention,SEARCH_REQUIRED
SRT-SCR-BOT,Removable 3.0 mm fines screen cassette,Perforated-sheet specialist,DeviceMart; AliExpress sample,SAMPLE_ONLY,3.0 mm aperture; open area; stainless grade; frame retention,SEARCH_REQUIRED
SRT-ISO-001,8 Hz candidate rubber isolators,Vibration-mount specialist,AliExpress sample,SAMPLE_ONLY,measured vertical stiffness near 947 N/m each; loss factor; M5 geometry,CANDIDATE_EVIDENCE_RECORDED
DRY-INS-001,40 mm high-temperature insulation and ventilated metal shield,Industrial insulation supplier,DeviceMart industrial catalog,FORBIDDEN,continuous temperature; noncombustibility; fiber containment; 40 mm installed thickness,SEARCH_REQUIRED
DRY-PLA-HTR,24 V 60 W PLA heater branch with 60 C trip and 72 C fuse,Authorized heater supplier,DeviceMart industrial catalog,FORBIDDEN,24 V 60 W; sheath temperature; airflow interlock; 60 C trip; 72 C one-shot fuse,SEARCH_REQUIRED
DRY-PET-HTR,24 V 240 W PET heater branch with 170 C trip and 184 C fuse,Authorized industrial air-heater supplier,DeviceMart industrial catalog,FORBIDDEN,24 V 240 W; 160 C duty; 170 C trip; 184 C fuse; metal airflow path,SEARCH_REQUIRED
DRY-AIR-001,Closed-loop blower and dual desiccant cartridge set,Dryer/blower specialist,DeviceMart blower and desiccant catalog,FORBIDDEN,3 m3/h operating point; 160 C isolation; desiccant regeneration; leak test,SEARCH_REQUIRED
DRY-SEN-001,Three high-temperature sensors plus humidity and external dew-point port,Authorized sensor distributor,DigiKey; DeviceMart,FORBIDDEN,three traceable temperature channels; humidity limit; external dew-point port,CANDIDATE_EVIDENCE_RECORDED
EXT-THR-001,51102 thrust bearing radial bearings and 12 mm metal support plate,Bearing specialist,MISUMI,FORBIDDEN,51102 C0/C; radial bearing set; 5.09 kN proof; temperature derating,SEARCH_REQUIRED
EXT-HTR-001,Three 80 W barrel heaters and 60 W die heater,Authorized cartridge-heater supplier,DeviceMart industrial catalog,FORBIDDEN,24 V; 3x80 W + 60 W; watt density; sheath; lead temperature; clamp fit,SEARCH_REQUIRED
EXT-SEN-001,Four hot-zone sensors melt pressure sensor and cool-bearing sensor,Industrial pressure/temperature specialist,DigiKey; DeviceMart for temperature only,FORBIDDEN,four hot-zone sensors; calibrated melt pressure 0-20 MPa; cool-bearing channel,CANDIDATE_EVIDENCE_RECORDED
EXT-REL-001,Qualified guarded melt-pressure rupture element below 20 MPa proof,Extrusion rupture-disk specialist,OEM quotation,FORBIDDEN,polymer melt service; burst tolerance below 20 MPa proof; guarded discharge; certificate,SEARCH_REQUIRED
GAU-CAM-001,Raspberry Pi Camera Module 3 standard candidate,Raspberry Pi approved reseller,DeviceMart,SAMPLE_ONLY,Camera Module 3 standard; fixed exposure support; final U95 <=0.020 mm validation,CANDIDATE_EVIDENCE_RECORDED
