revision,interface_id,part_a,part_b,interface_type,nominal_dimension_a,nominal_dimension_b,clearance_interference,tolerance,standard_reference,assembly_method,tool,inspection_method,status
coupled-digital-validation-v0.5,IF-001,CUT-05 shaft journals,6004-2RS x4,bearing inner-ring fit,Ø20 h6,ID Ø20,transition/slip per received bearing,shaft 0/-0.013 mm,ISO 286-2; bearing maker data,press inner ring only; metal collars,micrometer + bearing heater/press,measure four journals and received bearing IDs,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-002,6004-2RS x4,CUT-03 matched side plates,bearing outer-ring seat,OD Ø42,Ø42 H7,0/+0.025 mm nominal bore allowance,seat +0/+0.025 mm,ISO 286-2,press outer ring only,bore gauge + arbor press,report both seats/plate and centre distance,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-003,6004-2RS,CUT-03/CUT-08,bearing axial retention,width 12,plate 12 + retainer 2,outer ring positively retained without seal contact,axial endplay 0.05–0.20 mm,6004 20×42×12,M4 retainer plate,feeler gauge + torque wrench,rotate freely after retainer torque,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-004,CUT-05,CUT-02 spacers/CUT-01 discs,cutter stack bore,Ø20 h6,Ø20.2,0.20–0.23 mm diametral clearance,bore +0.05/0,internal project fit,keyed stack + metal shims/collars,micrometer + plug gauge,dry-stack hand slide and phase mark,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-005,CUT-05,DRV-02 cutter hub,keyed shaft hub,Ø20 h6 + 6 mm key,Ø20 H7 + 6 P9 keyway,transition fit; no phase slip,hub bore H7,KS B 1311 / DIN 6885,clamping hub + key,micrometer + bore gauge,blue-check contact and witness-mark torque test,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-006,DRV-02,#35 driven sprocket,bolt-on sprocket,PCD36 holes,matching PCD36 holes,face contact,PCD ±0.05 mm,ANSI B29.1 #35,bolted hub with prevailing nuts,caliper + torque wrench,radial runout ≤0.20 mm,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-007,#35 chain,12T/30T or 36T sprockets,roller chain mesh,pitch 9.525 mm,pitch 9.525 mm,2–3% midspan slack,shaft parallelism ≤0.20/150,ANSI B29.1 #35,slotted DRV-01 tension adjustment,straightedge + ruler,hand-turn full revolution under guard-off lockout,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-008,42GP-775 reference shaft,DRV-A42 adapter,motor shaft adapter,Ø10 class keyed/D-flat; verify variant,donor-specific measured bore,clamping fit; no set-screw-only torque path,adapter released after shaft measurement,supplier drawing controls,split-clamp adapter,micrometer + torque wrench,measure shaft diameter/flat/key and proof against adapter drawing,REFERENCE_VARIANT_VERIFY
coupled-digital-validation-v0.5,IF-009,DRV-03 keyed phase gear pair,CUT-05 shafts,phase synchronization and torque path,M3 Z16 20° face≥18; Ø20.2 + 6.2 keyway,Ø20 h6 shaft + common 6×6 key; centre distance 48.00,keyed torque path; backlash 0.15–0.35 mm target,centre distance ±0.03 mm; keyway width +0.10/0,ISO 54 involute module; DIN 6885/KS B 1311 key,common key + 2xM4 PCD30 clamp + Ø3 h6 dowel per gear,feeler/indicator + blue check,"seven-hook phase sweep, key contact and witness marks",PASS_DIGITAL
coupled-digital-validation-v0.5,IF-010,FM-GA-01 fixed axle,625-2RS x2,guide bearing inner-ring fit,Ø5 h6,ID Ø5,transition/slip per received bearing,shaft 0/-0.008 mm,625-2RS 5×16×5,inner rings located by metal collars,micrometer,free rotation without axial preload,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-011,625-2RS x2,FM-GR-01 guide roller,guide bearing outer seats,OD Ø16,2× Ø16 H7 ×5.1 deep,0/+0.018 mm bore allowance,seat +0/+0.018 mm,ISO 286-2,press outer ring only into turned roller,small arbor press + bore gauge,seat depth and shoulder squareness,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-012,FM-GA-01,PPR-C08 x2,fixed axle support,Ø5 h6,Ø5.2 printed/reamed,0.20–0.41 mm diametral clearance,bore +0.20/0 after coupon,project printed clearance,axle collars outside brackets,Ø5.2 reamer + hex key,axle passes both brackets without bending,PASS_DIGITAL
coupled-digital-validation-v0.5,IF-013,FM-AX-01,FM-RL-01/FM-PL-01,puller spindle,Ø8 h6,Ø8.2 bores,0.20–0.42 mm diametral clearance,matched plate axes ±0.05 mm,internal project fit,metal collars; donor drive one spindle,micrometer + pin gauge,roller TIR ≤0.05 mm,PASS_DIGITAL
