tool_id,tool,minimum_capability,used_for,calibration_or_inspection,required_or_optional
TL-01,torque wrench/driver set,0.5–18 N·m covering M3–M8,all controlled fasteners,current calibration certificate or check,REQUIRED
TL-02,hex/socket/spanner set,2.5/3/4/5 mm hex; 7/8/10/13 mm,assembly and service,inspect for wear,REQUIRED
TL-03,DMM and proven 0 V tester,DC voltage/resistance/continuity; rated for installed source,"polarity, PE, lockout verification",prove tester before/after; calibration current,REQUIRED
TL-04,insulation resistance tester,test voltage suitable for disconnected equipment,heater/sensor/PE inspection,calibration current; isolate electronics,REQUIRED
TL-05,"square, straightedge and tape",1 mm frame diagonal resolution,frame/module alignment,check against known standard,REQUIRED
TL-06,caliper and micrometers,0.01 mm; ranges through 60 mm,received dimensions and shaft seats,traceable calibration,REQUIRED
TL-07,three-point bore gauge,"Ø12–35 mm, 0.01 mm",barrel/bearing/heater bores,traceable calibration,REQUIRED
TL-08,dial indicator and magnetic stand,0.01 mm or better,shaft/screw/spool TIR,traceable calibration,REQUIRED
TL-09,feeler and metal shim gauges,0.05–1.0 mm,"cutter, shield and assembly clearances",clean/undamaged leaves,REQUIRED
TL-10,pin gauges/depth gauge,drawing limits for Ø3–8 and depth,"holes, thermocouple and die inspection",traceable calibration,REQUIRED
TL-11,arbor press and bearing sleeves,load only intended bearing ring,bearing installation,square ram and undamaged sleeves,REQUIRED
TL-12,borescope,view intersecting Ø8 die channel,die burr/step inspection,clean lens; scale reference,REQUIRED
TL-13,ferrule crimper and pull-test fixture,matches released terminals/wire,electrical assembly,sample crimp pull check,REQUIRED
