Requirement ID,Disposition,Local evidence,Automated evidence,Open verification,Owner
REQ-FUNC-001,DESIGN_EVIDENCE,requirements/constraints.md;docs/operation.md;docs/mvp_design_ko.md,validation/test_two_tower_contract.py,PLA and PET batch demonstration,User
REQ-FUNC-002,DESIGN_EVIDENCE,docs/operation.md;requirements/system_requirements.md,validation/test_requirements_traceability.py,Manual incoming-material and reject-container demonstration,User
REQ-FUNC-003,DESIGN_EVIDENCE,docs/operation.md;firmware/arduino_mega/src/ui_core.cpp,firmware/arduino_mega/tests/test_ui_core.cpp,Physical recipe selection and batch lock demonstration,User
REQ-FUNC-004,DESIGN_EVIDENCE,docs/operation.md;docs/mvp_design_ko.md,validation/test_requirements_traceability.py,Batch and finished-spool label match demonstration,User
REQ-FUNC-005,DESIGN_EVIDENCE,decisions/ADR-003-stage1-narrow-throat-drive.md;decisions/ADR-006-stage3-screen-family.md;cad/freecad/full_assembly/generate.py,validation/test_stage1_kinematics.py;validation/test_stage3_kinematics.py;validation/test_two_tower_geometry.py,Two-stage material size samples,User
REQ-FUNC-006,DESIGN_EVIDENCE,decisions/ADR-006-stage3-screen-family.md;docs/operation.md,validation/test_stage3_kinematics.py,Physical screen pass fines and oversize mass record,User
REQ-FUNC-007,DESIGN_EVIDENCE,calculations/thermal/dryer_feeder.md;docs/operation.md;firmware/arduino_mega/filament_recycler_mega.ino,validation/test_dryer_feeder_budget.py;firmware/arduino_mega/tests/test_sketch_compile.cpp,Temperature moisture time and mass-feed logs,User
REQ-FUNC-008,DESIGN_EVIDENCE,docs/operation.md;firmware/arduino_mega/src/ui_core.cpp,firmware/arduino_mega/tests/test_ui_core.cpp;firmware/arduino_mega/tests/test_sketch_compile.cpp,Physical material-change purge-waste path demonstration,User
REQ-FUNC-009,DESIGN_EVIDENCE,decisions/ADR-009-18mm-single-screw-extruder.md;calculations/extruder/screw_design.md,validation/test_extruder_design.py,Stable PLA and PET extrusion runs,User
REQ-FUNC-010,DESIGN_EVIDENCE,calculations/forming/line_design.md;cad/freecad/forming_line/geometry.py,validation/test_forming_line.py;validation/test_forming_geometry.py,Traceable dual-axis shadow-gauge calibration and log,User
REQ-FUNC-011,DESIGN_EVIDENCE,decisions/ADR-010-air-cooled-dual-view-forming-line.md;calculations/forming/line_design.md,validation/test_forming_line.py,Physical puller step response,User
REQ-FUNC-012,DESIGN_EVIDENCE,calculations/forming/line_design.md;cad/freecad/spooler/geometry.py,validation/test_spooler_geometry.py,Full one-kilogram spool winding demonstration,User
REQ-FUNC-013,DESIGN_EVIDENCE,decisions/ADR-002-safety-authority-and-power-phases.md;firmware/arduino_mega/src/control_core.cpp;docs/mvp_design_ko.md,firmware/arduino_mega/tests/test_control_core.cpp;firmware/arduino_mega/tests/test_sketch_compile.cpp,Startup run and fault demonstration without external computer,User
REQ-FUNC-014,DESIGN_EVIDENCE,firmware/arduino_mega/filament_recycler_mega.ino;docs/operation.md,firmware/arduino_mega/tests/test_sketch_compile.cpp,Thirty-minute Arduino CSV export using calibrated measurements,User
REQ-PERF-001,PHYSICAL_OPEN,validation/test_plans/extruder_coupon.md;docs/validation_report_ko.md,validation/test_extruder_design.py,Thirty-minute mass-balance at or above 100 g per hour,User
REQ-PERF-002,PHYSICAL_OPEN,validation/test_plans/forming_line_coupon.md;docs/calibration.md,validation/test_forming_line.py,Thirty-minute calibrated diameter record within 1.70 to 1.80 mm,User
REQ-PERF-003,PHYSICAL_OPEN,calculations/forming/line_design.md;validation/test_plans/forming_line_coupon.md,validation/test_forming_line.py,Measured improved tolerance and ovality evidence,User
REQ-PERF-004,DESIGN_EVIDENCE,calculations/thermal/dryer_feeder.md;cad/freecad/dryer_feeder/geometry.py,validation/test_dryer_feeder_budget.py;validation/test_dryer_geometry.py,Mass capacity and physical anti-reach refill test,User
REQ-MECH-001,DESIGN_EVIDENCE,cad/freecad/full_assembly/generate.py;requirements/constraints.md;docs/operation.md,validation/test_two_tower_geometry.py,Physical 120 by 120 fixture and anti-reach passage test,User
REQ-MECH-002,DESIGN_EVIDENCE,cad/freecad/full_assembly/generate.py;requirements/architecture_contract.md;simulation/architecture/two_tower_contract.json,validation/test_cad_generation.py;validation/test_two_tower_contract.py;validation/test_two_tower_geometry.py,Two-tower joint anchor load path and center-of-gravity physical validation,Codex and User
REQ-MECH-003,AUTOMATED_PASS,cad/parameters/baseline.json;validation/test_cad_generation.py,validation/test_cad_generation.py,None for current generated geometry,Codex
REQ-MECH-004,DESIGN_EVIDENCE,calculations/shredder/stage1_proof_design.md;exports/drawings/stage1_cutter_notes.md,validation/test_stage1_kinematics.py,Measured shim stack and loaded-clearance test,User
REQ-MECH-005,DESIGN_EVIDENCE,calculations/shredder/stage1_proof_design.md;calculations/forming/line_design.md;calculations/structural/beam_fea.md;simulation/structural/beam_crosscheck.json,validation/test_stage1_kinematics.py;validation/test_spooler_geometry.py;validation/test_structural_beam_fea.py,3D mesh/contact/notch/joint convergence and loaded physical confirmation,Codex and User
REQ-MECH-006,DESIGN_EVIDENCE,exports/drawings/stage1_bearing_plate_notes.md;exports/drawings/extruder_notes.md;docs/maintenance.md;renders/review/full_assembly_skeleton_tool_access.png;renders/review/full_assembly_skeleton_exploded.png,validation/test_cad_generation.py;validation/test_review_variants.py,Fastener-specific tool-access and module-removal physical review,User
REQ-THERM-001,DESIGN_EVIDENCE,calculations/extruder/screw_design.md;firmware/arduino_mega/filament_recycler_mega.ino,validation/test_extruder_design.py;firmware/arduino_mega/tests/test_sketch_compile.cpp,Zone sensor heater and recipe commissioning trace,User
