item_id,description,required_qty,claimed_zero_cash,status,required_confirmation,replacement_value_krw
R-MEGA,Arduino Mega 2560,1,false,UNVERIFIED,board label power-on IO test,35000
R-PI,Raspberry Pi 4,0,false,OUT_OF_SCOPE,직경 gauge에 사용하지 않음,70000
R-PSU,24 V 600 W PSU,1,false,UNVERIFIED,label output ripple earth bond load test,65000
R-N17,NEMA17 motor/driver,4,false,UNVERIFIED,model shaft current rating driver telemetry,80000
R-ZORTRAX,Zortrax M200 rod rail belt pulley fan endstop,1 lot,false,UNVERIFIED,사진 치수 수량 상태,120000
R-PROFILE,aluminum profile and metal plate,1 lot,false,UNVERIFIED,절단 길이 단면 체결상태,90000
R-SAFETY,E-stop switch fuse MOSFET connector stock,1 lot,false,UNVERIFIED,MPN rating continuity hardware cut test,60000
R-BEARING,common bearing and fastener stock,1 lot,false,UNVERIFIED,designation seal play corrosion,25000
R-SHREDDER-DRIVE,18-30 V reversible brushed DC gearmotor,1,false,UNVERIFIED,정확 model label 수량 상태 축경 무부하전류 30분 온도 및 cutter 환산 14 N.m continuous/24 N.m peak 증거,60000
R-FORCE-GAUGE,0-200 N force gauge 또는 100 kg load-cell/HX711,1,false,UNVERIFIED,serial/model calibration 0/49.05/98.10/147.15 N에서 오차 2% 이하,25000
R-FAB-SHEET,5052 aluminum 1/2 mm 304 1/2 mm galvanized steel and PP sheet per exports/fabrication,1 lot,false,UNVERIFIED,재질 두께 유효면적 부식 평탄도와 part별 nesting 가능 여부,50000
R-FAB-TUBE-SHAFT,OD32x2 304 tube Ø5/8/12 stock and puller/spooler metal motion parts,1 lot,false,UNVERIFIED,재질 직경 길이 straightness bearing designation 및 donor 사진/실측,45000
