Part ID,Module,Quantity,Description,Primary source type,Model STEP,Profile DXF,Drawing notes,Material baseline,Process baseline,Critical characteristics,RFQ status,Open release gates
SHR-SHAFT-001,Stage 1,2,20 mm keyed cutter shaft,CNC,exports/step/stage1_shredder_proof.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/stage1_cutter_notes.md,Steel,Turning and keyway,bearing-seat fit; shoulder location; keyway; total indicated runout,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,ADR-004 and detailed FEA pending; final material/tolerance/heat-treatment/DFM approval
SHR-CUT-001,Stage 1,10,Replaceable 60x6 mm hook cutter discs,CNC,exports/step/stage1_cutter_disc.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/stage1_cutter_notes.md,Tool or alloy steel,Laser or waterjet and finish grinding,profile; edge geometry; flatness; hardness and heat-treatment certificate,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,CAD phase sweep and coupon test pending; final material/tolerance/heat-treatment/DFM approval
SHR-PLATE-001,Stage 1,3,Metal bearing and timing-support plates,CNC,exports/step/stage1_bearing_plate.step,exports/dxf/stage1_bearing_plate.dxf,exports/drawings/stage1_cutter_notes.md,Steel or aluminum alloy,CNC or drill-template fabrication,datum flatness; bore position/fit; thickness; fastener pattern,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,FEA pending; final material/tolerance/heat-treatment/DFM approval
SHR-SPACER-001,Stage 1,10,38x6.4 mm shaft spacers,CNC,exports/step/stage1_cutter_stack.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/stage1_cutter_notes.md,Steel,Turning,interface datums; hole pattern; flatness; service clearance; deburred edges,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,CAD axial clearance sweep; final material/tolerance/heat-treatment/DFM approval
SHR-RET-001,Stage 1,3,Combined bearing retainer plates,CNC,exports/step/stage1_cutter_stack.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/stage1_cutter_notes.md,Steel,Laser or waterjet and drill,interface datums; hole pattern; flatness; service clearance; deburred edges,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,ADR-004 and CAD review; final material/tolerance/heat-treatment/DFM approval
SHR2-SHAFT-001,Stage 2,1,20 mm keyed rotor shaft,CNC,exports/step/stage2_shredder_proof.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/stage2_rotor_bed_knife_notes.md,Steel,Turning and keyway,bearing-seat fit; shoulder location; keyway; total indicated runout,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,Stage 2 shaft screening and CAD sweep; final material/tolerance/heat-treatment/DFM approval
SHR2-ROTOR-001,Stage 2,1,50 mm OD three-row eight-segment rotor proof,CNC,exports/step/stage2_rotor.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/stage2_rotor_bed_knife_notes.md,Steel,Turning milling and balance,bearing-axis concentricity; pocket position; balance; no weld in proof rotor,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,ADR-005 and kinematic sweep; final material/tolerance/heat-treatment/DFM approval
SHR2-KNIFE-001,Stage 2,1,Fixed bed knife 8x20x64 mm proof,CNC,exports/step/stage2_bed_knife.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/stage2_rotor_bed_knife_notes.md,Tool steel,Milling grinding and heat treatment,profile; edge geometry; flatness; hardness and heat-treatment certificate,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,Size and torque coupon pending; final material/tolerance/heat-treatment/DFM approval
SHR2-CARRIER-001,Stage 2,1,Metal bed knife carrier,CNC,exports/step/stage2_shredder_proof.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/stage2_rotor_bed_knife_notes.md,Steel,Milling and drilling,interface datums; hole pattern; flatness; service clearance; deburred edges,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,Carrier FEA pending; final material/tolerance/heat-treatment/DFM approval
SHR2-PLATE-001,Stage 2,2,110x100x14 bearing side plates,CNC,exports/step/stage2_bearing_plate.step,exports/dxf/stage2_bearing_plate.dxf,exports/drawings/stage2_rotor_bed_knife_notes.md,Steel or aluminum alloy,CNC or drill-template fabrication,datum flatness; bore position/fit; thickness; fastener pattern,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,CAD solid review passed; final material/tolerance/heat-treatment/DFM approval
SHR2-RET-001,Stage 2,2,Bearing retainer rings,CNC,exports/step/stage2_shredder_proof.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/stage2_rotor_bed_knife_notes.md,Steel,Laser or waterjet and drill,interface datums; hole pattern; flatness; service clearance; deburred edges,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,CAD contact check; final material/tolerance/heat-treatment/DFM approval
GRN-SHAFT-001,Stage 3,1,17 mm keyed granulator shaft,CNC,exports/step/stage3_granulator_proof.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/stage3_granulator_notes.md,Steel,Turning and keyway,bearing-seat fit; shoulder location; keyway; total indicated runout,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,Stage 3 35 N m shaft screen; final material/tolerance/heat-treatment/DFM approval
GRN-ROTOR-001,Stage 3,1,40 mm OD four-row segmented rotor proof,CNC,exports/step/stage3_rotor.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/stage3_granulator_notes.md,Steel,Turning milling and balance,bearing-axis concentricity; pocket position; balance; no weld in proof rotor,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,ADR-006 and rotor sweep; final material/tolerance/heat-treatment/DFM approval
