scope,part_id,description,quantity,material,status,source,evidence,landed_line_KRW,cost_state,notes
active_S2_C2.1,S2-CYC-ROTOR,fused CAD envelope for cycloid disc hook rotor and web,1,C45/tool insert concept,DFM_AND_STRESS_HOLD,C2.1-CAD,E2,,UNKNOWN,Physical bolts fits axial retention heat treatment tolerance and load are unmodeled
active_S2_C2.1,S2-ECC-BEARING,eccentric rotor bearing envelope,1,MPN unselected,BEARING_RATING_HOLD,C2.1-ADR,E0,,UNKNOWN,Boundary only; oscillating combined load unknown
active_S2_C2.1,S2-FASTENERS,rotor/ring/support fasteners axial stops and retainers,1,certified steel hardware required,HARDWARE_SCHEDULE_HOLD,C2.1-ADR,E0,,UNKNOWN,Not modeled; quantity grade preload fit retention and cost unknown
active_S2_C2.1,S2-FIXED-PIN,fixed reaction ring pin,9,hardened steel candidate,CONTACT_RATING_HOLD,C2.1-CAD,E2,,UNKNOWN,Pin/roller contact stress lubrication and retention unknown
active_S2_C2.1,S2-GUARD,guard section envelope,1,metal containment required,SAFETY_DESIGN_HOLD,C2-REQ,E0,,UNKNOWN,Envelope is not a complete or certified guard
active_S2_C2.1,S2-IN-BEARING,input support bearing envelope,1,MPN unselected,BEARING_RATING_HOLD,C2.1-ADR,E0,,UNKNOWN,Boundary only; speed/load/life/seal unknown
active_S2_C2.1,S2-IN-SHAFT,input shaft with eccentric crank,1,C45 candidate,LOAD_RATING_HOLD,C2.1-CAD,E2,,UNKNOWN,Key/spline/fatigue/fit not released
active_S2_C2.1,S2-OUT-BEARING,output shaft bearing envelope,1,MPN unselected,BEARING_RATING_HOLD,C2.1-ADR,E0,,UNKNOWN,Boundary only; radial/axial load and life unknown
active_S2_C2.1,S2-OUT-CARRIER,output pin carrier and shaft,1,steel candidate,FATIGUE_AND_FIT_HOLD,C2.1-CAD,E2,,UNKNOWN,Fixed-axis output rotates -1/q
active_S2_C2.1,S2-OUT-ROLLER,offset-accommodation roller envelope,6,MPN unselected,COUPLING_RATING_HOLD,C2.1-ADR,E0,,UNKNOWN,Window R12.2 gives e7 plus0.2 nominal clearance only; loaded phase/contact sharing HOLD
active_S2_C2.1,S2-RING-PLATE,fixed reaction plate,2,steel candidate,STRESS_AND_DFM_HOLD,C2.1-CAD,E2,,UNKNOWN,6mm is a CAD assumption not an approved plate
active_S2_C2.1,S2-SCREEN,perforated curved screen reference,1,steel candidate,SCREEN_CALIBRATION_HOLD,C2-CAD,E2,,UNKNOWN,Actual perforated C2 generated geometry is integrated; hole diameter does not guarantee maximum particle length
active_S2_C2.1,S2-SCREEN-PERF,screen cassette attachment and seal hardware,1,metal hardware required,ATTACHMENT_HARDWARE_HOLD,C2-REQ,E0,,UNKNOWN,Perforated screen geometry exists; removable cassette fasteners seal and cleanout access are not modeled
active_S2_C2.1,S2-SENSORS,shear screen motor gear ambient sensors and harness,1,qualified sensors required,SENSOR_SELECTION_WIRING_RESPONSE_HOLD,C2-REQ,E1,,UNKNOWN,Shear sensor bore exists; sensor MPN mounts wiring calibration delay and response validation remain HOLD
active_S2_C2.1,S2-SHEAR,fixed shear with sensor blind-bore geometry,1,tool steel candidate,LOAD_THERMAL_HOLD,C2-CAD,E2,,UNKNOWN,Actual C2 generated geometry is integrated; retention edge treatment sensor selection and response remain HOLD
active_S2_C2.1,S2-SUPPORT-PLATE,chamfered front/rear shaft support plate,2,steel candidate,FRAME_INTEGRATION_DIGITAL_PASS_RATING_HOLD,C2.1-CAD,E2,,UNKNOWN,C1 S1 clearance and four relocated metal-leg face interfaces pass digital BRep; fastener/preload/stiffness remain HOLD
active_S2_C2.1,S2-SUPPORT-TIE,axial metal tie rod,4,certified steel rod candidate,FRAME_INTEGRATION_DIGITAL_PASS_RATING_HOLD,C2.1-CAD,E2,,UNKNOWN,Digital clearance passes; thread grade end retention preload and buckling remain HOLD
active_S2_C2.1,S2-THERMAL,split thermal saddles and four axial caps,1,aluminium candidate,THERMAL_CALIBRATION_HOLD,C2-CAD,E2,,UNKNOWN,Generated split saddles/caps are integrated; measured UA fins fan duct and material temperature remain HOLD
active_S2_C2.1,S2-THERMAL-IF,spreader conductive interface fins and segregated airflow,1,metal thermal path required,INTERFACE_AIRFLOW_CALIBRATION_HOLD,C2-REQ,E1,,UNKNOWN,Split saddles/caps exist; contact conductance measured UA fins and clean-side airflow remain HOLD
legacy_interface:S1,BR-6205,6205 bearing boundary,4,Bearing steel,DATASHEET_BOUNDARY,https://www.nsk.com/engineering/6205-apn.html,C1_INTERFACE_BASELINE,,UNKNOWN,"Seal, clearance class and exact suffix must be selected. Bearing envelope is not solid steel in mass estimates."
legacy_interface:S1,KEY-8-154,Parallel key8x7x154,2,C45 ground key stock,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,Nominal key blank; stock/female-key fit and deburring to drawing review. No printed keys.
legacy_interface:S1,KEY-8-16,Parallel key8x7x16,1,C45 ground key stock,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,Nominal key blank; stock/female-key fit and deburring to drawing review. No printed keys.
legacy_interface:S1,KEY-8-25,Parallel key8x7x25,2,C45 ground key stock,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,Nominal key blank; stock/female-key fit and deburring to drawing review. No printed keys.
legacy_interface:S1,S1-BPL,S1 bearing carrier,2,S355 steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Two 52 H7 seats at60.00 +/-0.02 centres. Line bore assembled metal carriers. Datums A face, B base, C left edge."
legacy_interface:S1,S1-BR-CAP,Two-bearing retainer,2,S355 steel,CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,47 mm inner abutment per NSK6205; four M6 through bolts share carrier pattern. No overlapping round caps.
legacy_interface:S1,S1-CUT-A-P00,S1 cutter A tooth phase 0 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 0.000000 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-A-P01,S1 cutter A tooth phase 1 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 3.956044 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-A-P02,S1 cutter A tooth phase 2 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 7.912088 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-A-P03,S1 cutter A tooth phase 3 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 11.868132 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-A-P04,S1 cutter A tooth phase 4 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 15.824176 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-A-P05,S1 cutter A tooth phase 5 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 19.780220 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-A-P06,S1 cutter A tooth phase 6 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 23.736264 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-A-P07,S1 cutter A tooth phase 7 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 27.692308 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-A-P08,S1 cutter A tooth phase 8 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 31.648352 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-A-P09,S1 cutter A tooth phase 9 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 35.604396 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-A-P10,S1 cutter A tooth phase 10 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 39.560440 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-A-P11,S1 cutter A tooth phase 11 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 43.516484 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-A-P12,S1 cutter A tooth phase 12 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 47.472527 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-B-P00,S1 cutter B tooth phase 0 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 0.000000 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-B-P01,S1 cutter B tooth phase 1 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 3.956044 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-B-P02,S1 cutter B tooth phase 2 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 7.912088 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-B-P03,S1 cutter B tooth phase 3 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 11.868132 deg; KEY REMAINS ZERO. Mark part phase before grinding."
legacy_interface:S1,S1-CUT-B-P04,S1 cutter B tooth phase 4 / common key datum,1,"Tool steel, heat treatment RFQ",CUSTOM_DFM_HOLD,PPR-C1 original dimensional design; not an empirical qualification,C1_INTERFACE_BASELINE,,UNKNOWN,"Final thickness 6.00 +/-0.02; bore25 H7; key8 Js9. Cut blank then heat-treat/grind, edge hardening not a laser-as-cut assumption. Tooth phase 15.824176 deg; KEY REMAINS ZERO. Mark part phase before grinding."
