item_id,item,required_quantity,unit,confirmed_available_quantity,purchase_quantity,state,minimum_specification,lab_question,source_ids,latest_evidence
CTRL-01,Arduino Mega 2560,1,board,,,USER_REPORTED_AVAILABLE,ATmega2560 compatible completed board; keep current firmware,Mega 보유 회신 완료; 추가 구매 보류,MEGA-1001|MEGA-COUPANG,User-reported availability; quantity not enumerated
DRV-SH,분쇄기 감속모터,1,motor,0,,DESIGN_REFERENCE_SELECTED_NOT_ORDERED,24V; gear 40rpm; output 16.0rpm/19.61Nm; reference only; protection/mount integration pending,선정 기준 모터의 최종 옵션/재고/장착 및 보호설정 확인; 주문은 별도 승인,TT-GMP60-RFQ,analysis/motor_sizing_v08/motor_selection.json; GGM K9DG60N2 + K9G75C
DRV-EX,압출 screw 감속모터,1,motor,0,,DESIGN_REFERENCE_SELECTED_NOT_ORDERED,24V; gear 20rpm; output 20.0rpm/9.807Nm; reference only; protection/mount integration pending,선정 기준 모터의 최종 옵션/재고/장착 및 보호설정 확인; 주문은 별도 승인,TT-GMP60-RFQ,analysis/motor_sizing_v08/motor_selection.json; GGM K9DG60N2 + K9G150C
DRV-POWER,분쇄/압출 DC 전력드라이버,2,channel,2,0,USER_COUNT_COVERS_PLAN_RATING_PENDING,Bidirectional24V; branch current and cooling matched to final motors; peak marking not continuous rating,수량 확인 완료; 선정 모터에 대한 정격/방열/배선 확인만 남음,BTS-ICBANQ|BTS-11ST,Explicit user count; one BTS7960 module per independent DC axis; not bench qualification
HEAT-BAND,배럴 제어 가열기,3,zone,,,PURCHASE_REQUIRED_SPEC_CONFIRMATION,현재24V100W ID34mm width45mm; 규격품 선택시 해당 clamp/zone만 수정,24V 제어히터 구매 규격 확정,HEATER-RFQ,Integrated bed/PTC not allocated; no order placed
HEAT-DIE,die 가열기,1,zone,,,PURCHASE_REQUIRED_SPEC_CONFIRMATION,현재24V60W cartridge; donor heater는 실제 지름/삽입길이/출력에 맞춰 국부 설계,24V 제어히터 구매 규격 확정,HEATER-RFQ,Integrated bed/PTC not allocated; no order placed
TEMP-01,Type-K 온도센서 및 변환부,5,channel,,,CHECK_LAB_FIRST,3 barrel +1 die +1 hopper current contract; ungrounded K probe separate from MAX6675 board,MAX6675와 Type-K 보유 여부; Chiron NTC는 직접 호환 아님,MAX6675-COUPANG|MAX6675-PARTS,UNCHANGED_FROM_PREVIOUS_REQUEST
BEARING-SH,분쇄축 베어링,4,bearing,,,CHECK_LAB_FIRST,25x42x9mm sealed; current SKF61905-2RS1; alternate brand needs load check,6905/61905 규격 보유 여부 및 각인,NJL6905,UNCHANGED_FROM_PREVIOUS_REQUEST
BEARING-EX,압출 추력베어링,1,bearing,,,CHECK_LAB_FIRST,15x28x9mm 51102; current NSK single direction,51102 또는 치수/정격이 맞는 추력베어링 여부,JAPAN51102,UNCHANGED_FROM_PREVIOUS_REQUEST
SAFETY-01,안전차단과 전력보호,1,set,,,ESTOP_AVAILABLE_OTHER_PROTECTION_UNCONFIRMED,E-stop1; lid/service interlocks3; rated power interruption; independent temperature cutoff; branch fuses,E-stop 보유; 인터록/차단부/과열차단/퓨즈는 별도,LAB-SAFETY,E-stop does not imply a complete safety set
GAUGE-01,직경검출 부품,1,two-axis-set,,,CHECK_LAB_FIRST,기존 LED/photodiode slit two-axis design; no new camera or Pi,광다이오드/LED/아날로그 회로와 위치조정용 부품 여부,LAB-GAUGE,UNCHANGED_FROM_PREVIOUS_REQUEST
MACHINE-01,필수 절삭/압력/정밀 금속부,1,drawing-set,,,STOCK_OR_RFQ_PENDING,커터12장; 분쇄축2; 위상기어2; screw/barrel pair1; die와 기능 seat; 판재는 절단/드릴 우선,공구강/강봉/두꺼운 판재와 학교 선반/리머/밀링 사용 가능 여부,CNC-RFQ,UNCHANGED_FROM_PREVIOUS_REQUEST
AUX-01,소형축 구동/이송/팬/UI,1,donor-lot,,,DONOR_FIRST_NOT_NEW_PURCHASE,Chiron 모터/driver/lead-screw/벨트/팬/display 우선; STEP-DIR와 기존PWM-DIR 어댑터 구분,모터/driver/팬 라벨과 Z나사 및 profile 보유길이 사진,CHIRON-ASSET,UNCHANGED_FROM_PREVIOUS_REQUEST
