Part ID,Module,Quantity,Description,Primary source type,Model STEP,Profile DXF,Drawing notes,Material baseline,Process baseline,Critical characteristics,RFQ status,Open release gates
SRT-TRAY-001,Vibratory sorter,1,Two-deck metal tray frame,CNC,exports/step/vibratory_sorter_proof.step,exports/dxf/sorter_base_plate.dxf,exports/drawings/vibratory_sorter_notes.md,Aluminum or steel,Sheet fabrication and fasteners,interface datums; hole pattern; flatness; service clearance; deburred edges,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,ADR-007 CAD proof; final material/tolerance/heat-treatment/DFM approval
SRT-MNT-001,Vibratory sorter,1,Metal motor and eccentric support bracket,CNC,exports/step/vibratory_sorter_proof.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/vibratory_sorter_notes.md,Steel or aluminum,Sheet fabrication and bolting,interface datums; hole pattern; flatness; service clearance; deburred edges,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,CAD load path only; final material/tolerance/heat-treatment/DFM approval
DRY-BASE-001,Dryer,1,Three-point metal support frame and load-cell mounting base,CNC,exports/step/dryer_feeder_proof.step,exports/dxf/dryer_base_plate.dxf,exports/drawings/dryer_feeder_notes.md,Steel or aluminum,Plate and profile fabrication,interface datums; hole pattern; flatness; service clearance; deburred edges,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,CAD load-path envelope; final material/tolerance/heat-treatment/DFM approval
DRY-VSL-001,Dryer,1,140 mm ID 320 mm active metal hopper and cone,CNC,exports/step/dryer_metal_hopper.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/dryer_feeder_notes.md,Stainless steel,Sheet rolling welding and finishing,interface datums; hole pattern; flatness; service clearance; deburred edges,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,ADR-008 thermal sizing; final material/tolerance/heat-treatment/DFM approval
DRY-LID-001,Dryer,1,Metal hopper lid with agitator shaft opening,CNC,exports/step/dryer_feeder_proof.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/dryer_feeder_notes.md,Stainless steel,Sheet cutting and forming,interface datums; hole pattern; flatness; service clearance; deburred edges,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,CAD envelope; final material/tolerance/heat-treatment/DFM approval
DRY-AGT-001,Dryer,1,20 rpm metal agitator and sealed drive,CNC,exports/step/dryer_feeder_proof.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/dryer_feeder_notes.md,Stainless steel,Turning welding and geared drive,interface datums; hole pattern; flatness; service clearance; deburred edges,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,PET agglomeration coupon pending; final material/tolerance/heat-treatment/DFM approval
DRY-GATE-001,Dryer,1,Double metal isolation gate and airlock interface,CNC,exports/step/dryer_feeder_proof.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/dryer_feeder_notes.md,Stainless steel,Plate machining and actuator integration,interface datums; hole pattern; flatness; service clearance; deburred edges,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,Open-bore CAD proof; final material/tolerance/heat-treatment/DFM approval
DRY-FDR-001,Dryer,1,30 mm auger airlock drive and load-cell set,CNC,exports/step/dryer_metering_auger.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/dryer_feeder_notes.md,Metal and electronics,Machining and assembly,interface datums; hole pattern; flatness; service clearance; deburred edges,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,3.54 rpm at 200 g per h estimate; final material/tolerance/heat-treatment/DFM approval
INP-GATE-001,Input classification,1,Guarded double-gate singulator with metal hinge and positive-opening interlock set,FABRICATE,exports/step/classifier_gate_pair.step,exports/dxf/classifier_gate_half.dxf,exports/drawings/input_classifier_notes.md,Mixed,Fabricate and assemble,interface datums; hole pattern; flatness; service clearance; deburred edges,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,Gate geometry and reach-probe test passed; final material/tolerance/heat-treatment/DFM approval
BIN-DIV-001,Classification storage,1,Guarded seven-port rotating chute hoses and six-color-plus-Reject bins,FABRICATE,exports/step/classification_storage_proof.step,NOT_PROVIDED_USE_STEP_FOR_DFM,exports/drawings/input_classifier_notes.md,Mixed,Fabricate and assemble,interface datums; hole pattern; flatness; service clearance; deburred edges,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,Seven-port geometry test passed; final material/tolerance/heat-treatment/DFM approval
CTL-ASM-001,Control enclosure,1,Grounded 300 by 220 by 180 mm sheet enclosure backplate partition DIN rails ducts glands and PE bonding set,FABRICATE,exports/step/control_enclosure_proof.step,exports/dxf/control_door_half.dxf,exports/drawings/control_enclosure_notes.md,Sheet metal,Fabricate and wire under qualified supervision,interface datums; hole pattern; flatness; service clearance; deburred edges,RFQ_PRECHECK_ONLY_NOT_FABRICATION_RELEASE,Spatial segregation CAD passed; final material/tolerance/heat-treatment/DFM approval
