part_id,baseline,approved_alternative,approval_state,required_recalculation_or_recalibration,evidence_before_use
SH-03,GGM K9DG60N2 + K9G75C selected drive,none until an exact shaft/mount/ratio/current/torque equivalent is documented,PURCHASE_AND_RECEIPT_HOLD,"PCD/output-offset mount compatibility, ratio/speed, 0-6 A current map, gearbox torque map and 8.8-9.3 N.m mechanical protection",vendor/received label + authenticated receipt packet + mount-compatibility PASS + P3 bench evidence
CUT-03,12 mm steel,15 mm 6061-T6,CONDITIONAL_AFTER_GATE1,"bearing-seat, plate deflection/stress and fastener bearing",material certificate + rerun LC04/related plate case + Gate-1
FD-BIN-01,1 mm PP sheet,1 mm 304 stainless sheet,LISTED_DESIGN_OPTION,mass/service handling check; no firmware recalibration,"slot fit, edge/burr and cleanability inspection"
FD-MET-02,304 stainless auger/agitator per final RFQ,none; legacy POM-C pocket rotor is not the active geometry,NO_APPROVED_ALTERNATIVE,"any new material/geometry requires feeder clearance, torque/inertia, current-window and thermal review",new drawing revision and dry-feed coupon
FH-03,17E1K-07 + EG17-G10 + CL42T-V41 digital reference,none until an exact replacement is documented,PURCHASE_AND_RECEIPT_HOLD,"FD-DA-01/FD-CP-01 fit, output torque, STEP rate, current/fuse, ALM and tach",datasheet + received shaft/pilot/pattern/current + 2.2 N.m torque-arm + tach-loss test
EX-THR-01,S45C,SS400,LISTED_DESIGN_OPTION,thrust plate stress/deflection if thickness or geometry changes,"material certificate, seat dimensions and LC05 boundary match"
FM-GR-01,POM-C,6061-T6,LISTED_DESIGN_OPTION,roller inertia and puller/dancer control verification,"bearing fit, runout and strand surface inspection"
EX-SCR-01/EX-BAR-01,SCM440 KS D3867/JIS G4105,chemically/mechanically equivalent SCM440 designation,CERTIFICATE_REVIEW_REQUIRED,thermal growth and strength if properties differ,"certificate, QT/nitride hardness/depth, Ra, TIR and matched clearance report"
TH-BH-01,custom ID34 24 V 100 W band,none; Ø35 stock substitution prohibited,NO_APPROVED_ALTERNATIVE,power/current/fuse/PID and thermal model for any design change,new engineering release and receipt thermal test
TH-DIE-01,Tempco custom Hi-Density metric Ø6.50 CG x39.50 with HTL leads and MFR flange,none; stock 3D-printer cartridge substitution prohibited,CUSTOM_QUOTE_AND_DRAWING_REQUIRED,"fit, watt density, lead temperature, power/current/fuse/PID and flange retention",accepted vendor drawing + OD/camber/resistance/insulation report + full hand insertion
TH-TC-01,Tempco MTA1 K/2/M/A/Q/U custom probe with welded stop collar,"none until the same OD, stop, insulation and response contract is documented",CUSTOM_QUOTE_AND_DRAWING_REQUIRED,"probe fit, junction isolation, insertion stop, transition temperature and control response",accepted vendor drawing + dimensional/insulation certificate + cold/hot pull and coupon response tests
PPR-C01..12,material in print manifest,none,NO_APPROVED_ALTERNATIVE,"re-slice, fit coupon, temperature/strength review",new print manifest and interface validation
