joint_id,part_ids,specification,quantity,torque_Nm,locking,tool,inspection,source,verification_state
PR-PPR-C01-1,PPR-C01 / metal hopper rails and lid-interlock flag,M4x16 90° flat-head latch flag screw + washer + nyloc,1,1.2,none,hex/driver sized to received fastener,M4 through bore Ø4.50–4.70 with Ø8.4×2 90° underside countersink; rail slide gap0.35; witness mark and no crack,exports/print/print_manifest.csv,RELEASED_DIGITAL
PR-PPR-C02-1,PPR-C02 / hopper and metal cutter chamber,M4x12 + washer,4,1.2,4x M4 nyloc nuts on metal side,hex/driver sized to received fastener,4x Ø4.5 mount; 2x Ø10.5 steel-sleeve clearance; 100x50 outlet; staggered 72 mm ledges; witness mark and no crack,exports/print/print_manifest.csv,RELEASED_DIGITAL
PR-PPR-C02-2,PPR-C02 / hopper and metal cutter chamber,chamber M6 tie bolts inside steel sleeves,2,6,4x M4 nyloc nuts on metal side,hex/driver sized to received fastener,4x Ø4.5 mount; 2x Ø10.5 steel-sleeve clearance; 100x50 outlet; staggered 72 mm ledges; witness mark and no crack,exports/print/print_manifest.csv,RELEASED_DIGITAL
PR-PPR-C03-1,PPR-C03 / 1.00 ±0.05 mm sheet bin and screen rails,M3x8 + washer + nyloc,8,0.5,none,hex/driver sized to received fastener,2x Ø3.4 through on orthogonal legs; witness mark and no crack,exports/print/print_manifest.csv,RELEASED_DIGITAL
PR-PPR-C04-1,PPR-C04 / metal screen,M5x16 + large washer + nyloc,2,2.0,none,hex/driver sized to received fastener,2x Ø5.5 through at 84 mm spacing; witness mark and no crack,exports/print/print_manifest.csv,RELEASED_DIGITAL
PR-PPR-C05-1,PPR-C05 / 80 mm fan and next duct,M4x12 + washer + nyloc,16,1.2,none,hex/driver sized to received fastener,8x Ø4.5 flange holes; 60x55 clear air opening; witness mark and no crack,exports/print/print_manifest.csv,RELEASED_DIGITAL
PR-PPR-C06-1,PPR-C06 / LED/photodiode cross frame,M3x12 + washers + all-metal nuts,8,0.5,none,hex/driver sized to received fastener,4x Ø3.40–3.50 through bores; 8 mm optical slot; complete-pair functional alignment; witness mark and no crack,exports/print/print_manifest.csv,RELEASED_DIGITAL
PR-PPR-C07-1,PPR-C07 / metal puller plate,M4 captive screws,4,1.2,4x M4 rivnuts in metal puller plate,hex/driver sized to received fastener,4x Ø4.5 through; 80x32 guarded window; witness mark and no crack,exports/print/print_manifest.csv,RELEASED_DIGITAL
PR-PPR-C08-1,PPR-C08 / FM-GA-01 fixed Ø5 axle and profile; 625 bearings are seated in FM-GR-01,M5x16 + washer + T-nut,4,2.0,none,hex/driver sized to received fastener,2x Ø5.5 base holes; Ø5.20–5.40 fixed-axle bore; complete-pair hand-pass alignment; witness mark and no crack,exports/print/print_manifest.csv,RELEASED_DIGITAL
PR-PPR-C09-1,"PPR-C09 / 12 mm metal spindle, metal collar, and received spool",M6x30 through clamp + washer + nyloc,2,2.5,none; metal shaft collar carries axial load,hex/driver sized to received fastener,Ø12.20–12.40 axial bore; Ø6.6 radial through clamp; metal collar carries axial load; witness mark and no crack,exports/print/print_manifest.csv,RELEASED_DIGITAL
PR-PPR-C10-1,PPR-C10 / specified Ø8 h6 rods and GT2 belt,M4x25 belt-clamp screws + washers + nyloc,2,1.2,none,hex/driver sized to received fastener,2x Ø8.40–8.50 rod bores; 2x Ø4.50–4.70 through clamp bores; witness mark and no crack,exports/print/print_manifest.csv,RELEASED_DIGITAL
PR-PPR-C11-1,PPR-C11 / metal control panel,M3x16 + washers + all-metal nuts,4,0.5,none,hex/driver sized to received fastener,4x Ø3.40–3.50 through bores; 145x82 display opening; witness mark and no crack,exports/print/print_manifest.csv,RELEASED_DIGITAL
PR-PPR-C12-1,PPR-C12 / 20 mm profile and fixed 18x18 cable duct,M4x10 + profile T-nut,8,1.0,none,hex/driver sized to received fastener,1x Ø4.5 through tab; 18.6x18.6 duct cavity; witness mark and no crack,exports/print/print_manifest.csv,RELEASED_DIGITAL
SYS-01,frame profile joints,M5x12 SHCS + washer + prevailing T-nut; 56 kits paired across 28 two-fastener corner brackets,56,5.0,prevailing T-nut,4 mm hex + square,all 56 witness marks present; frame diagonal <=1.0 mm,release/build_bom_release.py::fasteners; final manual generated from this schedule,RELEASED_DIGITAL
SYS-02,PE-01..04 bonds,M4x10 + two tooth washers + all-metal nut per bond,4,3.0,tooth washer + all-metal nut,3 mm hex + DMM,four PE bonds pass continuity and have witness marks,release/build_bom_release.py::fasteners; final manual generated from this schedule,RELEASED_DIGITAL
SYS-03,EX-THR-01 / barrel,M6x20 class 8.8,8,9,prevailing metal nut,5 mm hex/10 mm spanner,metal thrust path; witness mark,release/build_bom_release.py::fasteners; final manual generated from this schedule,RELEASED_DIGITAL
SYS-04,EX-DIE-01 / EX-BAR-01,M4x45 class 10.9 SHCS cut/deburred to 42.5 +/-0.1,4,1.5,dry thread; no threadlocker; witness mark,3 mm hex; micrometer/depth gauge,"digital load-path PASS: engagement6.82-7.40 and thread-bottom clearance0.60-1.18 from die grip34.95-35.05, compressed gasket0.25-0.53 and barrel full thread8.00; 6 MPa retained-clamp separation SF2.14; physical receipt/leak/first thermal-cycle check NOT_RUN",release/build_bom_release.py::fasteners; final manual generated from this schedule,RELEASED_DIGITAL_PHYSICAL_NOT_RUN
SYS-05,EX-DIE-04 / EX-DIE-01,M4 retainer screw,2,1.2,all-metal lock,3 mm hex,retainer captures insert,release/build_bom_release.py::fasteners; final manual generated from this schedule,RELEASED_DIGITAL
SYS-06,CUT-08 / CUT-03,M4x12 class 8.8 SHCS,12,3,all-metal locknut,3 mm hex + 7 mm spanner,bearing seal untouched; free rotation,release/build_bom_release.py::fasteners; final manual generated from this schedule,RELEASED_DIGITAL
SYS-07,hot-zone datum/guide / rear rail,M5 profile fastener,4,2.5,prevailing T-nut,4 mm hex,rear datum fixed; front axial slide free,release/build_bom_release.py::fasteners; final manual generated from this schedule,RELEASED_DIGITAL
SYS-08,DRV-03 / DRV-03R phase gears,M4x22 class 10.9 SHCS,4,3,all-metal locknut + dowel,3 mm hex + 7 mm spanner,2 bolts/gear; clocking dowel seated; matched keys blue-checked,release/build_bom_release.py::fasteners; final manual generated from this schedule,RELEASED_DIGITAL
SYS-09,GGM_SH_12T / GGM_SH_30T axial retention,received sprocket maker axial-retention hardware; 4x4/6x6 keys carry torque,2,HOLD,maker locking/retention feature; axial retention only,tool and torque per accepted received hardware,blue-check key flank; no friction-only/set-screw-only torque path; each sprocket radial TIR <=0.10 mm; total axial shift+U95 <=0.20 mm; chain alignment <=0.20/150 mm,release/build_bom_release.py::fasteners; final manual generated from this schedule,HOLD_SPROCKET_RECEIPT_AXIAL_RETENTION_NOT_RUN
SYS-10,ExtruderRearRetainer / ExtruderRearFixedDatum,M4x25 class 8.8 SHCS,2,2.9,dry thread; witness mark,3 mm hex,full thread engagement >=8.0 mm; cold endplay 0.12-0.28 mm,release/build_bom_release.py::fasteners; final manual generated from this schedule,RELEASED_DIGITAL_PHYSICAL_NOT_RUN
SYS-11,FM-EB-01 / FM-PL-01,M3x10 class 8.8 SHCS,4,1.2,witness mark; clean dry thread,2.5 mm hex,paired bush index within0.5 deg; full-rotation roller gap1.60-1.90 mm,release/build_bom_release.py::fasteners; final manual generated from this schedule,RELEASED_DIGITAL_PHYSICAL_NOT_RUN
SYS-12,FD-HOP-01 / FD-GSK-01 / FD-MET-01,M4x16 A2-70 SHCS + washer + all-metal prevailing nut,4,HOLD,all-metal prevailing nut,3 mm hex; 7 mm spanner; feeler/depth gauge,register clearance0.10-0.16; tighten crosswise only until gasket thickness0.35-0.40; dry-flake leak/retention test required,release/build_bom_release.py::fasteners; final manual generated from this schedule,HOLD_GASKET_COMPRESSION_PHYSICAL_NOT_RUN
SYS-13,SP-BR-01 / SP-BP-01,M5x20 A2-70 SHCS + washer + all-metal prevailing nut,8,2.5,all-metal prevailing nut,4 mm hex + 8 mm spanner,four bolts per bearing; cross-tighten; blue-check outer-ring edge only; free rotation and axial capture,release/build_bom_release.py::fasteners; final manual generated from this schedule,RELEASED_DIGITAL_PHYSICAL_NOT_RUN
SYS-14,FM-GC-01 / FM-GR-01,M3x25 A2-70 SHCS + washers + all-metal prevailing nuts,3,0.35,all-metal prevailing nut,2.5 mm hex + 5.5 mm spanner,three balanced through-bolts; caps flush; blue-check outer-ring edge only; free rotation and no cap rub,release/build_bom_release.py::fasteners; final manual generated from this schedule,RELEASED_DIGITAL_PHYSICAL_NOT_RUN
SYS-15,FD-MET-02 / FD-MET-03 / FD-CP-01,420 stainless slotted spring pins: Ø3x12 lower + Ø3x18 upper,2,N/A,matched Ø3.00-3.05 cross-holes; replace after removal,3 mm pin punch,both pins flush; 10 hand turns without housing/coupling rub; inspect for looseness,release/build_bom_release.py::fasteners; final manual generated from this schedule,RELEASED_DIGITAL_PHYSICAL_NOT_RUN
SYS-16,TH-DIE-01 / EX-DIE-01,2x M3x8 A4-80 SHCS + Schnorr washer,2,1.0,high-temperature serrated conical washer; no threadlocker,2.5 mm hex,flange seated; heater cannot back out; leads unloaded; cold witness-mark and recheck after first thermal cycle,release/build_bom_release.py::fasteners; final manual generated from this schedule,RELEASED_DIGITAL_PHYSICAL_NOT_RUN
SYS-17,TH-TCR-01 / EX-BAR-01 / EX-DIE-01,M3x8 A4-80 SHCS + Schnorr washer,8,0.5,high-temperature serrated conical washer; no threadlocker,2.5 mm hex,four stop collars captured; 20 N pull causes <=0.10 mm motion cold and after thermal cycle,release/build_bom_release.py::fasteners; final manual generated from this schedule,RELEASED_DIGITAL_PHYSICAL_NOT_RUN
