drawing_number,part_assembly_id,revision,units,scale,projection,material,finish,general_tolerance,critical_tolerance,notes,source_commit,pdf,page,status
GA-001,GA-001,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,mixed assembly; see BOM.csv,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,470 × 700 × 930 mm envelope; service aisle ≥600 mm,general arrangement; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/GA-001_general_arrangement.pdf,1,PASS
ASM-001,ASM-001,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,mixed assembly; see BOM.csv,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,high-load path cutter/screw → metal bearing plate → profile → table,full assembly; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/ASM-001_full_assembly.pdf,1,PASS
ASM-002,ASM-002,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,mixed assembly; see BOM.csv,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,module datum transfer ≤0.50 mm; service modules removable without hot-path disturbance,module arrangement; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/ASM-002_module_arrangement.pdf,1,PASS
FR-001,FR-001,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,2020/2040 aluminum profile,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,base 470 × 700 mm; anchor M8 ×4; rail squareness ≤0.50/700,frame; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/FR-001_frame.pdf,1,PASS
SH-001,SH-001,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,steel cutter module,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,shaft centres 48.00 ±0.03 mm; rotating-to-static clearance ≥1.90 mm; CUT-08 retainer M4×12 = 3 N·m; CUT-03 pair tied by 4× CUT-09 OD10/ID6.6/L128 matched steel sleeves and M6×170 class10.9 at7 N·m; plates mount through G1J-10 feet,shredder assembly; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/SH-001_shredder_assembly.pdf,1,PASS
SH-002,SH-002,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,D2 cutters / numbered match-ground steel spacers,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,CUT-01 t6 and CUT-02 nominal t7; do not interchange spacers; every one of 11 axial gaps 0.25–0.50 mm over one full hand rotation by metal shim,cutter stack; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/SH-002_cutter_stack.pdf,1,PASS
SH-003,SH-003,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,S45C QT shafts / SKF 61905-2RS1,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,Ø25 h6 seats; CUT-05R key clock25.714±0.02°; shaft TIR ≤0.05 mm; centre parallelism ≤0.10/150,shaft and bearing assembly; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/SH-003_shaft_and_bearing_assembly.pdf,1,PASS
SH-004,SH-004,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,direct-keyed steel #35 sprockets / S45C phase gears / #35 chain,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,GGM_SH_12T direct-keyed to 12 h6 jackshaft with 4x4 key; GGM_SH_30T direct-keyed to CUT-05R 25 h6 with 6x6 key; keys carry torque; received maker retention hardware is axial-only and torque remains HOLD until receipt; sprocket radial TIR ≤0.10 mm; total axial shift+U95 ≤0.20 mm; chain alignment ≤0.20/150 mm; midspan slack 2–3%; DRV-02 superseded; phase stack M4×4 = 3 N·m,chain and phase gear; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/SH-004_chain_and_phase_gear.pdf,1,PASS
FD-001,FD-001,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,5052-H32 hopper,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,feed opening 150 × 150 mm; all reachable edges R/C ≥0.5 mm,hopper; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/FD-001_hopper.pdf,1,PASS
FD-002,FD-002,final-design-fabrication-closure-v0.8,mm,NTS; written dimensions control,third-angle orthographic/isometric,304 screen / sheet chute,deburr; part-specific surface finish in manufacturing package,ISO 2768-m unless critical value overrides,screen aperture Ø5 on 9 pitch; cutter/static clearance ≥1.90 mm,recirculation/screen; vector projection; do not scale drawing,d09fe9bc0a587c2aadf27557c7d2bed8bf3f9424,docs/drawings/v0.8/FD-002_recirculation_screen.pdf,1,PASS
