revision,part_id,name,quantity,material,x_mm,y_mm,z_mm,cad_net_mass_each_g,cad_net_mass_total_g,slicer_mass_total_g,slicer_time_s,orientation,nozzle_mm,layer_height,walls,top_bottom_layers,infill,support,support_contact,support_removal,brim,minimum_wall_mm,fastener,insert_or_nut,tightening_torque,edge_distance,interfaces,tolerance,mating_part,assembly_order,freecad_source,dimension_sheet,slicer_status
virtual-physics-closure-v0.5.1,PPR-C01,Sliding hopper lid,1,PLA,195.00,195.00,8.00,103.08,103.08,99.12,40329,flat,0.4,0.24 mm,4,4,20%,no,none,none,none,1.6,1x M4x10 latch flag screw,1x M4 heat-set insert OD4.6 x L5,1.2 N.m,15 mm boss centre to edge,M4 insert bore Ø4.6 x5 blind; rail slide gap 0.35,0.35 mm slide,metal hopper rails and lid-interlock flag,3,PPR-C01.py,dimension_sheet.svg,PASS
virtual-physics-closure-v0.5.1,PPR-C02,Anti-reach baffle chute,1,PLA,190.00,120.00,90.00,247.45,247.45,243.32,78166,outlet down,0.4,0.24 mm,5,5,25%,ledge undersides only,two staggered ledge undersides,needle-nose pliers through 100x50 outlet,none,2.0,4x M4x12 + washer; 2x chamber M6 tie bolts through clearance holes,4x M4 nyloc nuts on metal side,M4 1.2 N.m; M6 6 N.m,8 mm boss centre; Ø14 boss,4x Ø4.5 mount; 2x Ø6.6 tie-bolt; 100x50 outlet; staggered 72 mm ledges,0.40 mm flake path,hopper and metal cutter chamber,4,PPR-C02.py,dimension_sheet.svg,PASS
virtual-physics-closure-v0.5.1,PPR-C03,Flake bin sheet corner,4,PLA,25.00,25.00,100.00,22.66,90.64,89.04,36060,end down,0.4,0.28 mm,4,4,25%,no,none,none,5 mm,1.6,2x M3x8 + washer + nyloc,none,0.5 N.m,12 mm hole centre,2x Ø3.4 through on orthogonal legs,0.30 mm sheet slot,1 mm sheet bin and screen rails,7,PPR-C03.py,dimension_sheet.svg,PASS
virtual-physics-closure-v0.5.1,PPR-C04,Screen drawer handle,1,PLA,100.00,25.00,20.00,39.74,39.74,25.67,8292,back flat,0.4,0.24 mm,5,5,35%,no,none,none,none,2.0,2x M5x16 + large washer + nyloc,none,2.0 N.m,8 mm hole centre,2x Ø5.5 through at 84 mm spacing,0.25 mm,metal screen,6,PPR-C04.py,dimension_sheet.svg,PASS
virtual-physics-closure-v0.5.1,PPR-C05,Cooling duct segment,2,ABS,80.00,75.00,100.00,79.73,159.45,89.52,24336,end face down,0.4,0.24 mm,4,4,15%,no,none,none,5 mm,1.6,8x M4x12 + washer + nyloc,none,1.2 N.m,5 mm hole centre,8x Ø4.5 flange holes; 60x55 clear air opening,0.30 mm flange registration,80 mm fan and next duct,13,PPR-C05.py,dimension_sheet.svg,PASS
virtual-physics-closure-v0.5.1,PPR-C06,Gauge enclosure half,2,ABS,95.00,70.00,28.00,33.17,66.33,38.59,13447,outer face down,0.4,0.20 mm,4,4,25%,slot bridge only,8x70 optical slot roof,break bridge strands from open housing side,none,1.6,4x M3x12,4x M3 heat-set insert OD4.6 x L5,0.5 N.m,7 mm boss centre; Ø12 boss,4x Ø4.6 x5 blind insert bores; 8 mm optical slot,0.20 mm optical slit,LED/photodiode cross frame and opposite half,14,PPR-C06.py,dimension_sheet.svg,PASS
virtual-physics-closure-v0.5.1,PPR-C07,Puller pinch guard,1,ABS,110.00,100.00,65.00,69.29,69.29,80.73,26326,outer face down,0.4,0.24 mm,5,5,20%,window bridge only,80x32 inspection-window upper edge,deburr from open guard interior,none,2.0,4x M4 captive screws,4x M4 rivnuts in metal puller plate,1.2 N.m,8 mm boss centre; Ø14 boss,4x Ø4.5 through; 80x32 guarded window,0.40 mm guard gap,metal puller plate,15,PPR-C07.py,dimension_sheet.svg,PASS
virtual-physics-closure-v0.5.1,PPR-C08,Solid-strand guide axle bracket,2,PLA,60.00,45.00,70.00,40.49,80.99,61.02,16398,L side,0.4,0.20 mm,5,5,40%,yes under axle bore,Ø5.2 axle-bore lower semicircle,ream Ø5.2 after support removal,5 mm,2.0,2x M5x16 + washer + T-nut,none,2.0 N.m,15 mm hole centre,2x Ø5.5 base holes; Ø5.2 fixed-axle bore,Ø5.2 +0.20/0 printed/reamed axle clearance,FM-GA-01 fixed Ø5 axle and profile; 625 bearings are seated in FM-GR-01,16,PPR-C08.py,dimension_sheet.svg,PASS
virtual-physics-closure-v0.5.1,PPR-C09,Spool cone adapter,2,PLA,70.00,69.98,35.00,30.16,60.32,30.28,7569,large face down,0.4,0.20 mm,5,5,35%,no,none,ream Ø12.2 spindle bore,none,2.0,1x M6x30 through clamp + washer + nyloc,none; metal shaft collar carries axial load,2.5 N.m,radial cross-hole at z=10,Ø12.2 axial bore; Ø6.6 radial through hole,0.30 mm spool core,12 mm metal spindle and metal collar,18,PPR-C09.py,dimension_sheet.svg,PASS
virtual-physics-closure-v0.5.1,PPR-C10,Traverse carriage,1,PLA,90.00,55.00,24.00,89.16,89.16,63.26,17316,flat,0.4,0.20 mm,5,5,40%,rod bores only,two Ø8.4 rod-bores,ream both bores from either x face,none,2.0,2x M4x16 belt-clamp screws,2x M4 heat-set insert OD5.6 x L6 or through nyloc,1.2 N.m,8 mm from belt-pad edge,2x Ø8.4 rod bores; 2x Ø4.5 clamp bores,0.20 mm after ream,donor rods and GT2 belt,19,PPR-C10.py,dimension_sheet.svg,PASS
