scenario,source_requirement,protected_requirement_or_failure_mode,input,method,expected_evidence,pass_fail_threshold,result,evidence
LowSpeedTachShredder,P0-K,6 PPR shredder low-speed reciprocal estimate remains valid,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,6 PPR shredder low-speed reciprocal estimate remains valid,scenario-specific predicate in validate_v0621_shadow.py,PASS,"filteredRpm[min=0,max=5,final=5], estimateErrorRpm[min=-5,max=1.11038e-08,final=-7.99361e-15], tachValid[min=1,max=1,final=1], rolloverHandled[min=1,max=1,final=1]"
LowSpeedTachScrew,P0-K,12 PPR screw estimate resolves 1 rpm,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,12 PPR screw estimate resolves 1 rpm,scenario-specific predicate in validate_v0621_shadow.py,PASS,"filteredRpm[min=0,max=1,final=1], estimateErrorRpm[min=-1,max=8.25654e-09,final=5.82956e-12], tachValid[min=1,max=1,final=1], rolloverHandled[min=1,max=1,final=1]"
LowSpeedTachPuller,P0-K,20 PPR puller estimate resolves 1 rpm,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,20 PPR puller estimate resolves 1 rpm,scenario-specific predicate in validate_v0621_shadow.py,PASS,"filteredRpm[min=0,max=1,final=1], estimateErrorRpm[min=-1,max=1.25736e-08,final=-8.99281e-15], tachValid[min=1,max=1,final=1], rolloverHandled[min=1,max=1,final=1]"
LowSpeedTachSpooler,P0-K,20 PPR spool estimate resolves 0.5 rpm,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,20 PPR spool estimate resolves 0.5 rpm,scenario-specific predicate in validate_v0621_shadow.py,PASS,"filteredRpm[min=0,max=0.5,final=0.5], estimateErrorRpm[min=-0.5,max=5.69616e-08,final=-2.78816e-12], tachValid[min=1,max=1,final=1], rolloverHandled[min=1,max=1,final=1]"
TachJitter,P0-K,deterministic 8% period jitter remains within 10% estimate error,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,deterministic 8% period jitter remains within 10% estimate error,scenario-specific predicate in validate_v0621_shadow.py,PASS,"filteredRpm[min=0,max=14.8148,final=14.8148], estimateErrorRpm[min=-16,max=-1.18519,final=-1.18519], tachValid[min=1,max=1,final=1], rolloverHandled[min=1,max=1,final=1]"
TachMissingPulse,P0-K,one missing pulse remains within age timeout and estimate recovers,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,one missing pulse remains within age timeout and estimate recovers,scenario-specific predicate in validate_v0621_shadow.py,PASS,"filteredRpm[min=0,max=5.91,final=5.91], estimateErrorRpm[min=-5.91,max=3.45277e-07,final=1.51898e-10], tachValid[min=1,max=1,final=1], rolloverHandled[min=1,max=1,final=1]"
TachRollover,P0-K,uint32 micros rollover delta is reconstructed,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,uint32 micros rollover delta is reconstructed,scenario-specific predicate in validate_v0621_shadow.py,PASS,"filteredRpm[min=0,max=32,final=32], estimateErrorRpm[min=-32,max=1.07693e-08,final=-1.06581e-14], tachValid[min=1,max=1,final=1], rolloverHandled[min=1,max=1,final=1]"
ShredderClosedLoopLoadStep,P0-K,shredder PI recovers while respecting frozen mechanical envelope,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,shredder PI recovers while respecting frozen mechanical envelope,scenario-specific predicate in validate_v0621_shadow.py,PASS,"tachValid[min=1,max=1,final=1], actualRpm[min=0,max=33.6321,final=32.0071], speedErrorRpm[min=-1.63211,max=32,final=-0.00709577], commandRpm[min=32.0056,max=80,final=32.0056], saturated[min=0,max=1,final=0], continuousRegion[min=1,max=1,final=1]"
ScrewClosedLoopPressureStep,P0-K,screw PI recovers from bounded pressure/load disturbance,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,screw PI recovers from bounded pressure/load disturbance,scenario-specific predicate in validate_v0621_shadow.py,PASS,"tachValid[min=1,max=1,final=1], actualRpm[min=0,max=16.5312,final=16.0028], speedErrorRpm[min=-0.531223,max=16,final=-0.00281642], commandRpm[min=16.0022,max=25,final=16.0022], saturated[min=0,max=1,final=0], continuousRegion[min=1,max=1,final=1]"
PullerClosedLoopLowSpeed,P0-K,normal low-speed puller target remains continuously controllable,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,normal low-speed puller target remains continuously controllable,scenario-specific predicate in validate_v0621_shadow.py,PASS,"tachValid[min=1,max=1,final=1], actualRpm[min=0,max=5.79508,final=5.51087], speedErrorRpm[min=-0.285081,max=5.51,final=-0.000865986], commandRpm[min=5.51069,max=15.428,final=5.51069], saturated[min=0,max=0,final=0], continuousRegion[min=1,max=1,final=1]"
SpoolerClosedLoopEmptyToFull,P0-K,volume-conservation radius drives empty-to-full spool speed,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,volume-conservation radius drives empty-to-full spool speed,scenario-specific predicate in validate_v0621_shadow.py,PASS,"targetRpm[min=0.886175,max=3.40836,final=0.886175], actualRpm[min=0,max=2.75932,final=0.886175], speedErrorRpm[min=-0.114253,max=3.40836,final=1.70767e-09], commandRpm[min=0.878493,max=8,final=0.886175], continuousRegion[min=1,max=1,final=1], estimatedRadiusMm[min=26,max=100,final=100]"
TraverseHomeMiddle,P0-K,middle-start homing reaches backoff and READY,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,middle-start homing reaches backoff and READY,scenario-specific predicate in validate_v0621_shadow.py,PASS,"homingState[min=2,max=4,final=4], traverseReady[min=0,max=1,final=1], traverseFault[min=0,max=0,final=0]"
TraverseHomeWrongDirection,P0-K,wrong direction enters TRAVERSE_FAULT,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,wrong direction enters TRAVERSE_FAULT,scenario-specific predicate in validate_v0621_shadow.py,PASS,"homingState[min=2,max=6,final=6], traverseReady[min=0,max=0,final=0], traverseFault[min=0,max=1,final=1]"
TraverseLimitFailure,P0-K,missing left limit times out to TRAVERSE_FAULT,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,missing left limit times out to TRAVERSE_FAULT,scenario-specific predicate in validate_v0621_shadow.py,PASS,"homingState[min=2,max=6,final=6], traverseReady[min=0,max=0,final=0], traverseFault[min=0,max=1,final=1]"
PLAShredderRecirculation,P0-K,PLA oversize returns without dead pocket or axial migration,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,PLA oversize returns without dead pocket or axial migration,scenario-specific predicate in validate_v0621_shadow.py,PASS,"oversizeReturnProbability[min=0.94222,max=0.94222,final=0.94222], ribbonBypassProbability[min=0,max=0,final=0], passes[min=1,max=1,final=1]"
PETRibbonRecirculation,P0-K,PET ribbon bypass remains below 1%,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,PET ribbon bypass remains below 1%,scenario-specific predicate in validate_v0621_shadow.py,PASS,"oversizeReturnProbability[min=0.94222,max=0.94222,final=0.94222], ribbonBypassProbability[min=0.007875,max=0.007875,final=0.007875], passes[min=1,max=1,final=1]"
PLAHopperBridgeClear,P0-K,PLA bridge clears in at most three cycles and two seconds,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,PLA bridge clears in at most three cycles and two seconds,scenario-specific predicate in validate_v0621_shadow.py,PASS,"deliveredFeedGH[min=0,max=95.856,final=95.856], continuousStarvationS[min=0,max=1.5,final=0], bridgeClearCycles[min=2,max=2,final=2], feederTorqueNm[min=1.41323,max=1.41323,final=1.41323], feedInventoryG[min=20,max=20,final=20], controlledPause[min=0,max=0,final=0]"
PETHopperBridgeClear,P0-K,PET bridge clears in at most three cycles and two seconds,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,PET bridge clears in at most three cycles and two seconds,scenario-specific predicate in validate_v0621_shadow.py,PASS,"deliveredFeedGH[min=0,max=95.856,final=95.856], continuousStarvationS[min=0,max=2,final=0], bridgeClearCycles[min=2,max=2,final=2], feederTorqueNm[min=1.41323,max=1.41323,final=1.41323], feedInventoryG[min=20,max=20,final=20], controlledPause[min=0,max=0,final=0]"
FeedRateNominalPLA,P0-K,nominal PLA feed remains 90-110 g/h with bounded inventory,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,nominal PLA feed remains 90-110 g/h with bounded inventory,scenario-specific predicate in validate_v0621_shadow.py,PASS,"deliveredFeedGH[min=100.243,max=100.243,final=100.243], continuousStarvationS[min=0,max=0,final=0], bridgeClearCycles[min=0,max=0,final=0], feederTorqueNm[min=1.41323,max=1.41323,final=1.41323], feedInventoryG[min=20,max=20,final=20], controlledPause[min=0,max=0,final=0]"
FeedRateNominalPET,P0-K,nominal PET feed remains 90-110 g/h with bounded inventory,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,nominal PET feed remains 90-110 g/h with bounded inventory,scenario-specific predicate in validate_v0621_shadow.py,PASS,"deliveredFeedGH[min=95.856,max=95.856,final=95.856], continuousStarvationS[min=0,max=0,final=0], bridgeClearCycles[min=0,max=0,final=0], feederTorqueNm[min=1.41323,max=1.41323,final=1.41323], feedInventoryG[min=20,max=20,final=20], controlledPause[min=0,max=0,final=0]"
FeedRateDegradedSafePause,P0-K,degraded feed selects deterministic derate/pause,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,degraded feed selects deterministic derate/pause,scenario-specific predicate in validate_v0621_shadow.py,PASS,"deliveredFeedGH[min=75,max=75,final=75], continuousStarvationS[min=0,max=0,final=0], bridgeClearCycles[min=0,max=0,final=0], feederTorqueNm[min=2.05,max=2.05,final=2.05], feedInventoryG[min=20,max=20,final=20], controlledPause[min=1,max=1,final=1]"
ActuatorDeadZoneRecovery,P0-C additional regression,P0-C dead-zone compensation preserves low-speed tracking,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,P0-C dead-zone compensation preserves low-speed tracking,scenario-specific predicate in validate_v0621_shadow.py,PASS,"tachValid[min=1,max=1,final=1], actualRpm[min=0,max=5.79508,final=5.51005], speedErrorRpm[min=-0.285081,max=5.51,final=-4.59071e-05], commandRpm[min=5.51004,max=15.428,final=5.51004], saturated[min=0,max=0,final=0], continuousRegion[min=1,max=1,final=1]"
ActuatorSaturationRecovery,P0-C additional regression,P0-C finite saturation clears and PI recovers,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,P0-C finite saturation clears and PI recovers,scenario-specific predicate in validate_v0621_shadow.py,PASS,"tachValid[min=1,max=1,final=1], actualRpm[min=0,max=17.3994,final=16.0054], speedErrorRpm[min=-1.39942,max=16,final=-0.00543322], commandRpm[min=16.0043,max=25,final=16.0043], saturated[min=0,max=1,final=0], continuousRegion[min=1,max=1,final=1]"
ActuatorTachLossRundown,P0-C additional regression,P0-C tach loss removes command and performs bounded rundown,generated V0621Contracts.mo plus scenario parameters,OpenModelica 1.27.0 DASSL reduced-order shadow simulation,P0-C tach loss removes command and performs bounded rundown,scenario-specific predicate in validate_v0621_shadow.py,PASS,"tachValid[min=0,max=1,final=0], actualRpm[min=0,max=16.4789,final=4.56684e-10], speedErrorRpm[min=-0.478878,max=16,final=0], commandRpm[min=0,max=25,final=0], saturated[min=0,max=1,final=0], continuousRegion[min=1,max=1,final=1]"
